#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Wasserbergstraße;Göppingen Wasserbergstr.;13005;de:08117:3005;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,675201285;48,6958305
Sankt Pauls Kirche;Göppingen Sankt Pauls Kirche;13006;de:08117:3006;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,676959247;48,69321232
Industriegebiet Ost;Göpp. Industriegeb. Ost;13007;de:08117:3007;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,679702249;48,69415837
Wielandstraße/Bf;Holzheim Wielandstraße/Bf;13008;de:08117:3008;08117026;Göppingen;Holzheim (Göppingen);GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,683459919;48,68877653
Buchrain;Holzheim Buchrain;13009;de:08117:3009;08117026;Göppingen;Holzheim (Göppingen);GP;5,6;Bus;980,980A;31980_,31980a;2;31;9,687499655;48,68422021
Rigipark;Holzheim Rigipark;13010;de:08117:3010;08117026;Göppingen;Holzheim (Göppingen);GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,686746039;48,68572647
St. Gotth. Weilerbachweg;Göpp. St. Gotth. Weilerbachweg;13011;de:08117:3011;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,68852023;48,67441217
Manzen Obere Siedlung;Göpp. Manzen Ob. Siedlung;13012;de:08117:3012;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,693162381;48,67033763
Ursenwang Lindenplatz;Göpp. Ursenw. Lindenplatz;13013;de:08117:3013;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,984,984A,N94;31980_,31980a,31984_,31984a,34094_;5;31,34;9,691421164;48,66711975
Ursenwang Kiefernsteige;Göpp. Ursenw. Kiefernsteige;13014;de:08117:3014;08117026;Göppingen;Göppingen;GP;5,6;Bus;980,980A;31980_,31980a;2;31;9,689544603;48,66490983
Ursenwang Eschenstr.;Göppingen Ursenwang Eschenstr.;13015;de:08117:3015;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";980,980A,984,N94;31980_,31980a,31984_,34094_;4;31,34;9,693806698;48,66683562
Manzen Manzenstr.;Göpp. Manzen Manzenstr.;13017;de:08117:3017;08117026;Göppingen;Göppingen;GP;5,6;Bus;980,980A;31980_,31980a;2;31;9,693377762;48,67217982
Kirche;Schlat Kirche;13018;de:08117:3018;08117043;Schlat;Schlat;GP;6;"Bus;Nachtbus";980,980A,984,984A,N94;31980_,31980a,31984_,31984a,34094_;5;31,34;9,706888606;48,6538246
Bachstraße;Schlat Bachstr.;13020;de:08117:3020;08117043;Schlat;Schlat;GP;6;"Bus;Nachtbus";980,980A,984,984A,N94;31980_,31980a,31984_,31984a,34094_;5;31,34;9,704863217;48,6516608
Rommentaler Straße;Schlat Rommentaler Str.;13022;de:08117:3022;08117043;Schlat;Schlat;GP;6;Bus;980A;31980a;1;31;9,713107194;48,65398407
Manzen Spitzenbergstr.;Göpp. Manzen Spitzenbergstr.;13023;de:08117:3023;08117026;Göppingen;Göppingen;GP;5,6;Bus;980,980A;31980_,31980a;2;31;9,696195678;48,67271136
Manzen Sportplatz;Göpp. Manzen Sportplatz;13024;de:08117:3024;08117026;Göppingen;Göppingen;GP;5,6;Bus;980,980A;31980_,31980a;2;31;9,693581928;48,67419293
Steinstraße;Holzheim Steinstraße;13025;de:08117:3025;08117026;Göppingen;Holzheim (Göppingen);GP;5,6;"Bus;Nachtbus";980,980A,N94;31980_,31980a,34094_;3;31,34;9,688235997;48,67945872
Enzbachweg;Schlat Enzbachweg;13026;de:08117:3026;08117043;Schlat;Schlat;GP;6;Bus;980A;31980a;1;31;9,716345461;48,65358627
Kreuzung Gruibingen Auendorf;Gammelsh. Krzg. Gruib. Auend.;13224;de:08117:3224;08117023;Gammelshausen;Gammelshausen;GP;5,6;"Bus;Ruftaxi";981,981A,982,RT982;31981_,31981a,31982_,50982_;4;31,5;9,657935151;48,63325192
Fuchsecksattel;Auendorf Fuchsecksattel;13225;de:08117:3225;08117006;Bad Ditzenbach;Auendorf;GP;7;"Bus;Ruftaxi";981A,982,RT982;31981a,31982_,50982_;3;31,5;9,673659987;48,62717182
Volksbank;Auendorf Volksbank;13226;de:08117:3226;08117006;Bad Ditzenbach;Auendorf;GP;7;"Bus;Nachtbus;Ruftaxi";961,981A,982,RT982,RTN99;31961_,31981a,31982_,50982_,51099_;5;31,50,51;9,680083022;48,61655863
Ditzenbacher Str.;Auendorf Ditzenbacher Str.;13227;de:08117:3227;08117006;Bad Ditzenbach;Auendorf;GP;7;"Bus;Ruftaxi";961,981A,982,RT982;31961_,31981a,31982_,50982_;4;31,5;9,678429438;48,61259362
Am Warmen;Mühlhausen i.T. Am Warmen;13230;de:08117:3230;08117035;Mühlhausen im Täle;Mühlhausen im Täle;GP;7;Bus;981,981A;31981_,31981a;2;31;9,656894584;48,58238612
Mühlhauser Str.;Gruibingen Mühlhauser Str.;13231;de:08117:3231;08117028;Gruibingen;Gruibingen;GP;7;"Bus;Nachtbus";981,981A,N96;31981_,31981a,34096_;3;31,34;9,646455067;48,59275093
Rathaus;Gruibingen Rathaus;13232;de:08117:3232;08117028;Gruibingen;Gruibingen;GP;7;"Bus;Nachtbus";981,981A,983A,N96,RTN99;31981_,31981a,31983a,34096_,51099_;5;31,34,51;9,641855021;48,5956094
