#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Waldburgstraße;Waldburgstraße;2;de:08111:2;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,107399378;48,72545873
Fauststraße;Fauststraße;5;de:08111:5;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N10;20014_,33010_;2;20,33;9,115134391;48,7319078
Vaihingen Viadukt;Vaihingen Viadukt;6;de:08111:6;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U14;20014_;1;20;9,118712708;48,73325301
Engelboldstraße;Engelboldstraße;8;de:08111:8;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N10;20014_,33010_;2;20,33;9,128062473;48,73743343
Südheimer Platz;Südheimer Platz;13;de:08111:13;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Seilbahn;Stadtbahn";U1,U14,20,N1;20001_,20014_,21020_,33001_;4;20,21,33;9,143629502;48,75664079
Bihlplatz;Bihlplatz;15;de:08111:15;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U14;20001_,20014_;2;20;9,151418363;48,75977812
Neckartor;Neckartor;25;de:08111:25;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,190186367;48,78613109
Stöckach;Stöckach;26;de:08111:26;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,194973965;48,78898264
Metzstraße;Metzstraße;27;de:08111:27;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,200539444;48,7922283
Mineralbäder;Mineralbäder;28;de:08111:28;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,205730513;48,79693111
Mercedesstraße;Mercedesstraße;30;de:08111:30;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U13,U16;20001_,20002_,20013_,20016_;4;20;9,211732428;48,80000459
Uff-Kirchhof;Uff-Kirchhof;32;de:08111:32;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U13,U16,N6;20001_,20013_,20016_,33006_;4;20,33;9,225884225;48,80499538
Augsburger Platz;Augsburger Platz;33;de:08111:33;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U16,N6;20001_,20016_,33006_;3;20,33;9,230829988;48,80588479
Nürnberger Straße;Nürnberger Straße;34;de:08111:34;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn";S2,S3,MEX19,RE90,MEX90,U1,U16,N6,S2E;10002_,10003_,11019_,11090_,11091_,20001_,20016_,33006_,36002a;9;10,11,20,33,36;9,234576905;48,80656062
Antwerpener Straße;Antwerpener Straße;35;de:08111:35;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U16,N6;20001_,20016_,33006_;3;20,33;9,242931165;48,80841368
Beskidenstraße;Beskidenstraße;36;de:08111:36;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U16,N6;20001_,20016_,33006_;3;20,33;9,253790688;48,81017071
Höhenstraße;Fellbach Höhenstraße;37;de:08119:37;08119020;Fellbach;Fellbach;WN;1,2;"Nachtbus;Stadtbahn";U1,U16,N6;20001_,20016_,33006_;3;20,33;9,262335922;48,81184209
Esslinger Straße;Fellbach Esslinger Straße;38;de:08119:38;08119020;Fellbach;Fellbach;WN;1,2;"Bus;Stadtbahn";U1,U16,212;20001_,20016_,31212_;3;20,31;9,269336212;48,81222157
Schwabenlandhalle;Fellbach Schwabenlandhalle;39;de:08119:39;08119020;Fellbach;Fellbach;WN;1,2;"Bus;Stadtbahn";U1,U16,207,212;20001_,20016_,31207_,31212_;4;20,31;9,27066583;48,80882834
Heslach Vogelrain;Heslach Vogelrain;43;de:08111:43;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Ruftaxi;Stadtbahn";U1,U14,92,N1,RT92;20001_,20014_,30092_,33001_,50092_;5;20,30,33,50;9,13823541;48,75360798
Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);55;de:08111:55;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U1,U2,U4,43,N2,N10;20001_,20002_,20004_,30043_,33002_,33010_;6;20,30,33;9,168573355;48,7771365
Büchsenstraße;Büchsenstraße;69;de:08111:69;08111000;Stuttgart;Stuttgart;S;1;Bus;47;30047_;1;30;9,174561194;48,77749625
Kleiner Schlossplatz;Kleiner Schlossplatz;70;de:08111:70;08111000;Stuttgart;Stuttgart;S;1;Bus;47;30047_;1;30;9,176554522;48,77944455
Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;76;de:08111:76;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N6;20004_,20009_,33006_;3;20,33;9,201752146;48,78919575
Bergfriedhof;Bergfriedhof;77;de:08111:77;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N6;20004_,20009_,33006_;3;20,33;9,205616598;48,78906301
Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;78;de:08111:78;08111000;Stuttgart;Stuttgart;S;1;"Bus;Stadtbahn";U4,45;20004_,30045_;2;20,3;9,210961724;48,78505172
Gaisburg;Gaisburg;79;de:08111:79;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U4;20004_;1;20;9,215773707;48,78382882
Wangener-/Landhausstraße;Wangener-/Landhausstraße;80;de:08111:80;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,222680054;48,78239485
Brendle (Großmarkt);Brendle (Großmarkt);81;de:08111:81;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,226744785;48,78154162
Im Degen;Im Degen;82;de:08111:82;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,233206031;48,77815656
Inselstraße;Inselstraße;83;de:08111:83;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U4,U9,N7;20004_,20009_,33007_;3;20,33;9,237453238;48,77571992
Wasenstraße;Wasenstraße;84;de:08111:84;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U4,U9,U13;20004_,20009_,20013_;3;20;9,243740793;48,77609344
Großglocknerstraße;Großglocknerstraße;86;de:08111:86;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";60,61,N6,N7;30060_,30061_,33006_,33007_;4;30,33;9,252704902;48,77840311
Neckarhalde;Neckarhalde;87;de:08111:87;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";61,N7;30061_,33007_;2;30,33;9,259977093;48,77439428
Ebniseestraße;Ebniseestraße;89;de:08111:89;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";61,N7;30061_,33007_;2;30,33;9,264527267;48,76779248
Bergstaffelstraße;Bergstaffelstraße;90;de:08111:90;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";61,N7;30061_,33007_;2;30,33;9,265849487;48,76573017
Wollinstraße;Wollinstraße;94;de:08111:94;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";52,99,612,N4;30052_,30099_,31612_,33004_;4;30,31,33;9,147144136;48,83739657
Neuwirtshauskreuzung;Neuwirtshauskreuzung;95;de:08111:95;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";52,99,N4;30052_,30099_,33004_;3;30,33;9,141990022;48,84046043
Niebuhrweg;Niebuhrweg;96;de:08111:96;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";52,99,N4;30052_,30099_,33004_;3;30,33;9,147511832;48,84198215
Marco-Polo-Weg;Marco-Polo-Weg;97;de:08111:97;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";52,99,N4;30052_,30099_,33004_;3;30,33;9,153305873;48,84331441
Stammheim;Stammheim;100;de:08111:100;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Stadtbahn";U15,98,412,508;20015_,30098_,31412_,31508_;4;20,30,31;9,156228787;48,85005467
Korntaler Straße;Korntaler Straße;102;de:08111:102;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus;Stadtbahn";U15,52,99,508,N4;20015_,30052_,30099_,31508_,33004_;5;20,30,31,33;9,157117653;48,84673532
Heutingsheimer Straße;Heutingsheimer Straße;103;de:08111:103;08111000;Stuttgart;Stuttgart;S;1,2;"Nachtbus;Stadtbahn";U15,N4;20015_,33004_;2;20,33;9,159311221;48,84245198
Wimpfener Straße;Wimpfener Straße;104;de:08111:104;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U15,N4;20015_,33004_;2;20,33;9,161041516;48,83825017
Kornwestheimer Straße;Kornwestheimer Straße;105;de:08111:105;08111000;Stuttgart;Stuttgart;S;1,2;Bus;412;31412_;1;31;9,166832501;48,85094798
Zahn-Nopper-Straße;Zahn-Nopper-Straße;106;de:08111:106;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";99,508,N4;30099_,31508_,33004_;3;30,31,33;9,164714535;48,83257982
Kirchtalstraße;Kirchtalstraße;107;de:08111:107;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U15,53,N4;20015_,30053_,33004_;3;20,30,33;9,170597563;48,83222953
Zuffenhausen Rathaus;Zuffenhausen Rathaus;108;de:08111:108;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Ruftaxi;Stadtbahn";U15,53,N4,RT4;20015_,30053_,33004_,51004_;4;20,30,33,51;9,174691691;48,83058678
Zuffenhausen Friedhof;Zuffenhausen Friedhof;109;de:08111:109;08111000;Stuttgart;Stuttgart;S;1;Bus;53;30053_;1;30;9,181466632;48,83589972
Friedrichswahl;Friedrichswahl;110;de:08111:110;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,172826422;48,82290119
Borsigstraße;Borsigstraße;111;de:08111:111;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,175483302;48,81939016
Sieglestraße;Sieglestraße;112;de:08111:112;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,177540345;48,81578109
Sonatenweg;Sonatenweg;114;de:08111:114;08111000;Stuttgart;Stuttgart;S;1,2;Bus;98,412;30098_,31412_;2;30,31;9,164757293;48,84971004
Pragfriedhof;Pragfriedhof;115;de:08111:115;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U5,U6,U7,U15;20005_,20006_,20007_,20015_;4;20;9,182568429;48,79809429
Stafflenbergstraße;Stafflenbergstraße;123;de:08111:123;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U15,N7;20015_,33007_;2;20,33;9,191928011;48,7754003
Bubenbad;Bubenbad;124;de:08111:124;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U15,N7;20015_,33007_;2;20,33;9,194750418;48,77346219
Payerstraße;Payerstraße;125;de:08111:125;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U15,N7,N9;20015_,33007_,33009_;3;20,33;9,195701915;48,76975571
Geroksruhe;Geroksruhe;126;de:08111:126;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U15,N7,N9;20015_,33007_,33009_;3;20,33;9,201142916;48,7662213
Silberwald;Silberwald;129;de:08111:129;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,U8,U15,N7;20007_,20008_,20015_,33007_;4;20,33;9,207719098;48,74792803
Waldau;Waldau;130;de:08111:130;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U7,U8;20007_,20008_;2;20;9,189049111;48,75155724
Heumaden;Heumaden;136;de:08111:136;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus;Stadtbahn";U7,U8,U15,130,131,N22;20007_,20008_,20015_,31130_,31131_,34022_;6;20,31,34;9,233754416;48,73811225
Isegrimweg;Isegrimweg;137;de:08111:137;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus";65,N7;30065_,33007_;2;30,33;9,229929747;48,74310177
Siedlung;Gerlingen Siedlung;141;de:08118:141;08118019;Gerlingen;Gerlingen;LB;2;"Bus;Stadtbahn";U6,635;20006_,31635_;2;20,31;9,0728232;48,80127382
Rossbaum;Gerlingen Rossbaum;142;de:08118:142;08118019;Gerlingen;Gerlingen;LB;2;"Bus;Nachtbus";635,N3;31635_,33003_;2;31,33;9,076676942;48,80220651
Breitwiesen;Gerlingen Breitwiesen;143;de:08118:143;08118019;Gerlingen;Gerlingen;LB;2;"Bus;Nachtbus;Stadtbahn";U6,635,N3;20006_,31635_,33003_;3;20,31,33;9,082571616;48,8024452
Giebel;Giebel;144;de:08111:144;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus;Stadtbahn";U6,U16,90,N3;20006_,20016_,30090_,33003_;4;20,30,33;9,087908126;48,80263006
Salamanderweg;Salamanderweg;145;de:08111:145;08111000;Stuttgart;Stuttgart;S;1,2;"Nachtbus;Stadtbahn";U6,U16,N3;20006_,20016_,33003_;3;20,33;9,09324434;48,80263484
Bergheimer Hof;Bergheimer Hof;146;de:08111:146;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U16,N3;20006_,20016_,33003_;3;20,33;9,101183864;48,80425571
Wolfbusch;Wolfbusch;147;de:08111:147;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U16,N3;20006_,20016_,33003_;3;20,33;9,105342817;48,80754315
Rastatter Straße;Rastatter Straße;148;de:08111:148;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U16,N3;20006_,20016_,33003_;3;20,33;9,107989616;48,81016645
Goethestraße;Gerlingen Goethestraße;149;de:08118:149;08118019;Gerlingen;Gerlingen;LB;2;"Bus;Nachtbus";635,N3;31635_,33003_;2;31,33;9,06750044;48,80104329
Mathildenstraße;Mathildenstraße;150;de:08111:150;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N3;33003_;1;33;9,117243321;48,81411398
Landauer Straße;Landauer Straße;151;de:08111:151;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U16,N3;20006_,20016_,33003_;3;20,33;9,123957135;48,81459251
Feuerbach Pfostenwäldle;Feuerbach Pfostenwäldle;152;de:08111:152;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U6,U13,U16;20006_,20013_,20016_;3;20;9,135524182;48,81216949
Sportpark Feuerbach;Sportpark Feuerbach;153;de:08111:153;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U13,U16,N3;20006_,20013_,20016_,33003_;4;20,33;9,14240675;48,80977819
Föhrich;Föhrich;154;de:08111:154;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U6,U13,U16,91,N3;20006_,20013_,20016_,30091_,33003_;5;20,30,33;9,149882218;48,81011038
Leobener Straße;Leobener Straße;156;de:08111:156;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N3;33003_;1;33;9,163061751;48,8102363
Maybachstraße;Maybachstraße;158;de:08111:158;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U6,U13,U16,N3;20006_,20013_,20016_,33003_;4;20,33;9,177264618;48,81097062
Dobelstraße;Dobelstraße;159;de:08111:159;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U5,U6,U7,U12;20005_,20006_,20007_,20012_;4;20;9,1859887;48,76974487
Neue Weinsteige 61;Neue Weinsteige 61;161;de:08111:161;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N8,N9,N10;33008_,33009_,33010_;3;33;9,180838458;48,76375517
Altenbergstaffel;Altenbergstaffel;162;de:08111:162;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N8,N9,N10;33008_,33009_,33010_;3;33;9,181721003;48,75955432
Weinsteige;Weinsteige;163;de:08111:163;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U5,U6,U8,U12,N8,N9,N10;20005_,20006_,20008_,20012_,33008_,33009_,33010_;7;20,33;9,174714038;48,75496108
Karl-Pfaff-Straße;Karl-Pfaff-Straße;164;de:08111:164;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";10,N8,N9,N10;30033_,33008_,33009_,33010_;4;30,33;9,172283891;48,75223106
Haigst;Haigst;165;de:08111:165;08111000;Stuttgart;Stuttgart;S;1;"Bus;Zahnradbahn";10;21010_,30033_;2;21,3;9,17225281;48,75506372
Vaihinger Straße;Vaihinger Straße;170;de:08111:170;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U3,U5,U6,U8,U12,N10;20003_,20005_,20006_,20008_,20012_,33010_;6;20,33;9,139197185;48,72772661
Unteraichen;Leinf. Unteraichen;174;de:08116:174;08116078;Leinfelden-Echterdingen;Leinfelden;ES;2;Stadtbahn;U5;20005_;1;20;9,143328762;48,70371163
Leinfelden;Leinfelden;175;de:08116:175;08116078;Leinfelden-Echterdingen;Leinfelden;ES;2;"Bus;Nachtbus;S-Bahn;Stadtbahn";S2,S3,S26,U5,82,86,818,818A,826,826A,N18;10002_,10003_,10026_,20005_,30082_,30086_,31818_,31818a,31826_,31826a,34018_;11;10,20,30,31,34;9,142859698;48,6964193
Rohrer Weg;Rohrer Weg;183;de:08111:183;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U5,U6;20005_,20006_;2;20;9,136667767;48,72228921
Raiffeisenstraße;Grötzingen Raiffeisenstraße;190;de:08116:190;08116081;Aichtal;Grötzingen;ES;3,4;"Bus;Nachtbus";808A,809,809A,X16,N89;31808a,31809_,31809a,31X16_,34089_;5;31,34;9,256100607;48,62764538
Am Äußeren Graben;Am Äußeren Graben;192;de:08111:192;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,145747056;48,85348551
Emerholz;Emerholz;193;de:08111:193;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,141672552;48,85342767
Withau;Withau;194;de:08111:194;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,139119945;48,85183017
Greut;Greut;195;de:08111:195;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,141266308;48,84950754
Stammheim Sporthalle;Stammheim Sporthalle;196;de:08111:196;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,149306703;48,84996497
Wespenweg;Wespenweg;197;de:08111:197;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,153215691;48,84945625
Freihofplatz;Freihofplatz;198;de:08111:198;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,15580393;48,84926393
Am Kirchplatz;Am Kirchplatz;199;de:08111:199;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,159739818;48,84868302
Kameralamtsstraße;Kameralamtsstraße;200;de:08111:200;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,163458702;48,848435
Admiralweg;Admiralweg;201;de:08111:201;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,166033641;48,84836836
Schwärmerweg;Schwärmerweg;202;de:08111:202;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,167693673;48,84770052
Segelfalterstraße;Segelfalterstraße;203;de:08111:203;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,170278889;48,84666261
Tagfalterweg;Tagfalterweg;204;de:08111:204;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,170270312;48,84814635
Schwilkenhofstraße;Schwilkenhofstraße;205;de:08111:205;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,167452336;48,84886987
Stammheim Friedhof;Stammheim Friedhof;206;de:08111:206;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,161297525;48,85005666
Generationenhaus;Generationenhaus;207;de:08111:207;08111000;Stuttgart;Stuttgart;S;2,1;Bus;98;30098_;1;30;9,159223578;48,84916033
Millöckerstraße;Millöckerstraße;211;de:08111:211;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U2,U9,N2;20002_,20009_,33002_;3;20,33;9,132033995;48,77942344
Beethovenstraße;Beethovenstraße;212;de:08111:212;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U2,U9,91,N2;20002_,20009_,30091_,33002_;4;20,30,33;9,133334353;48,77721881
Wielandstraße;Wielandstraße;215;de:08111:215;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";40,50,N2;30040_,30050_,33002_;3;30,33;9,139055683;48,77478408
Herderplatz;Herderplatz;216;de:08111:216;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U2,U9,40,50,N2;20002_,20009_,30040_,30050_,33002_;5;20,30,33;9,141456749;48,77228126
Vogelsang;Vogelsang;217;de:08111:217;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U2,U9,40,N2;20002_,20009_,30040_,33002_;4;20,30,33;9,145926017;48,77467663
Arndt-/Spittastraße;Arndt-/Spittastraße;218;de:08111:218;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U2,U9,N2;20002_,20009_,33002_;3;20,33;9,150770048;48,7748682
Raitelsberg;Raitelsberg;222;de:08111:222;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U9,N6;20009_,33006_;2;20,33;9,212270982;48,78895199
Wangen Marktplatz;Wangen Marktplatz;225;de:08111:225;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U9,U13;20009_,20013_;2;20;9,245405595;48,77153076
Hedelfinger Straße;Hedelfinger Straße;226;de:08111:226;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U9,U13;20009_,20013_;2;20;9,2490015;48,76691892
Hedelfingen;Hedelfingen;227;de:08111:227;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus;Stadtbahn";U9,U13,62,65,103,N7;20009_,20013_,30062_,30065_,31103_,33007_;6;20,30,31,33;9,254272124;48,76008215
Börsenplatz;Börsenplatz;229;de:08111:229;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U9;20001_,20009_;2;20;9,176366466;48,78013725
Wilhelma;Wilhelma;254;de:08111:254;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13,U14,U16;20013_,20014_,20016_;3;20;9,208291569;48,80400347
Rosensteinpark;Rosensteinpark;262;de:08111:262;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13,U16;20013_,20016_;2;20;9,196527413;48,80686577
Glockenstraße;Glockenstraße;263;de:08111:263;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13,U16;20013_,20016_;2;20;9,20423782;48,80807528
Kienbachstraße;Kienbachstraße;264;de:08111:264;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13;20013_;1;20;9,234476517;48,79964572
Blick;Blick;265;de:08111:265;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13;20013_;1;20;9,242108833;48,79317339
Eszet;Eszet;267;de:08111:267;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13;20013_;1;20;9,246613777;48,78762452
Schlotterbeckstraße;Schlotterbeckstraße;268;de:08111:268;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U13;20013_;1;20;9,248950583;48,78409448
Auwiesen;Auwiesen;271;de:08111:271;08111000;Stuttgart;Stuttgart;S;1,2;"Bus;Nachtbus;Stadtbahn";U12,U14,54,N5;20012_,20014_,30054_,33005_;4;20,30,33;9,224881571;48,83944687
Hofen;Hofen;272;de:08111:272;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus;Stadtbahn";U12,U14,54,N5;20012_,20014_,30054_,33005_;4;20,30,33;9,222102423;48,83634994
Wagrainäcker;Wagrainäcker;274;de:08111:274;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U12,U14;20012_,20014_;2;20;9,212143801;48,82967848
Elbestraße;Elbestraße;275;de:08111:275;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U14;20014_;1;20;9,212834435;48,82553175
Freibergstraße;Freibergstraße;276;de:08111:276;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N4;20014_,33004_;2;20,33;9,221967278;48,82429153
Münster Rathaus;Münster Rathaus;277;de:08111:277;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N4;20014_,33004_;2;20,33;9,226637457;48,82105418
Münster Viadukt;Münster Viadukt;278;de:08111:278;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U14;20014_;1;20;9,222232763;48,8165936
Weserstraße;Weserstraße;279;de:08111:279;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";56,N4;30056_,33004_;2;30,33;9,215272546;48,82243386
Kraftwerk Münster;Kraftwerk Münster;280;de:08111:280;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U14;20014_;1;20;9,217441691;48,81390507
Mühlsteg;Mühlsteg;281;de:08111:281;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N4;20014_,33004_;2;20,33;9,215639818;48,80967307
Suttnerstraße;Suttnerstraße;288;de:08111:288;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,N5;20007_,33005_;2;20,33;9,206522433;48,84049744
Himmelsleiter;Himmelsleiter;289;de:08111:289;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U7,N5;20007_,33005_;2;20,33;9,201551055;48,83736796
Mittnachtstraße;Mittnachtstraße;296;de:08111:296;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U12;20012_;1;20;9,190149434;48,79792912
Milchhof;Milchhof;297;de:08111:297;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U12;20012_;1;20;9,18986039;48,79348738
Budapester Platz;Budapester Platz;299;de:08111:299;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U12;20012_;1;20;9,185684411;48,79045479
Friedhofstraße;Friedhofstraße;303;de:08111:303;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N3,N4;33003_,33004_;2;33;9,182131548;48,79398548
Tal-/Ostendstraße;Tal-/Ostendstraße;306;de:08111:306;08111000;Stuttgart;Stuttgart;S;1;Nachtbus;N5,N7;33005_,33007_;2;33;9,207869798;48,78106474
