Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Goldberg-Gymnasium;Sindelf. Goldberg-Gymnasium;Rtg Böblingen;3204;0;3;de:08115:3204:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31701_,31701a,31708_,31732a,31734_,31744_,31760a,31763_,31763a,31766_,31X16_,31X76_;701,701A,708,732A,734,744,760A,763,763A,766,X16,X76;12;9,008213981;48,69615756;Ja;Ja;150;15;;Ebenerdig;Nein
Goldberg-Gymnasium;Sindelf. Goldberg-Gymnasium;Rtg Sindelfingen;3204;0;4;de:08115:3204:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31701_,31701a,31704a,31708_,31734_,31744_,31749_,31760a,31763_,31763a,31X16_,31X76_;701,701A,704A,708,734,744,749,760A,763,763A,X16,X76;12;9,00791522;48,69667915;Ja;Ja;250;15;;Ebenerdig;Nein
Gottlieb-Daimler-Schule;Sind. Gottlieb-Daimler-Schule;Rtg Böblingen/Goldberg;3205;0;3;de:08115:3205:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31701_,31701a,31704a,31708_,31717a,31734_,31744_,31760a,31763_,31763a,31766_;701,701A,704A,708,717A,734,744,760A,763,763A,766;11;9,007956827;48,70172393;Ja;Ja;250;15;;Ebenerdig;Nein
Gottlieb-Daimler-Schule;Sind. Gottlieb-Daimler-Schule;Rtg Sindelfingen;3205;0;4;de:08115:3205:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31701_,31701a,31704a,31708_,31734_,31744_,31749_,31760a,31763a,31X76_;701,701A,704A,708,734,744,749,760A,763A,X76;10;9,007617343;48,70267716;Ja;Ja;150;15;;Ebenerdig;Nein
Frankenstraße;Sindelfingen Frankenstraße;eRtg ZOB Böbl.;3206;0;3;de:08115:3206:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31704a,31709_,31717a,31724_,31732a,31763_,31763a;704A,709,717A,724,732A,763,763A;7;9,008594511;48,69712872;Ja;Ja;250;20;;Ebenerdig;Ja
Landhaussiedlung;Maich. Landhaussiedlung;Rtg Magstadt/Stuttgart;3207;0;3;de:08115:3207:0:3;BB;08115045;Sindelfingen;Maichingen;3;31,5;"Bus;Ruftaxi";31704_,31745_,31748_,50704_;704,745,748,RT704;4;8,984473133;48,72839494;Ja;Ja;250;15;;Stufenhöhe;Nein
Landhaussiedlung;Maich. Landhaussiedlung;Rtg Maichingen;3207;0;4;de:08115:3207:0:4;BB;08115045;Sindelfingen;Maichingen;3;31,5;"Bus;Ruftaxi";31704_,31704a,31745_,31748_,50704_;704,704A,745,748,RT704;5;8,985152619;48,72892558;Ja;Ja;150;15;;Stufenhöhe;Nein
Hallenbad;Maichingen Hallenbad;eRtg Sifi ZOB;3208;0;3;de:08115:3208:0:3;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31715_,31718_,31722_,31745_,31749_;704,704A,715,718,722,745,749;7;8,963818674;48,7192271;Ja;Ja;250;15;;Ebenerdig;Nein
Hallenbad;Maichingen Hallenbad;eRtg Rathaus;3208;0;4;de:08115:3208:0:4;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31718_,31722_,31749_;704,704A,718,722,749;5;8,963859691;48,71887641;Ja;Ja;250;15;;Ebenerdig;Nein
Rathaus;Maichingen Rathaus;eRtg Hallenbad;3209;0;3;de:08115:3209:0:3;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31749_;749;1;8,964726537;48,72313011;Nein;Nein;250;15;;Ebenerdig;Nein
