Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Waldburgstraße;Waldburgstraße;Rtg Hegel-Gymnasium/Pestalozzi-Schule;2;0;3;de:08111:2:0:3;S;08111000;Stuttgart;Stuttgart;1;30,33;"Bus;Nachtbus";30081_,30082_,30086_,33010_;81,82,86,N10;4;9,10741297;48,72545871;Ja;Ja;250;15;;Ebenerdig;Nein
Waldburgstraße;Waldburgstraße;Rtg Vaihingen ZOB;2;0;4;de:08111:2:0:4;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30081_,30082_,30086_;81,82,86;3;9,10741297;48,72545871;Ja;Ja;250;15;;Ebenerdig;Nein
Fauststraße;Fauststraße;Rtg Vaihingen Schillerplatz;5;1;1;de:08111:5:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,115120839;48,73192579;;;250;100;;Keine Angabe;Ja
Fauststraße;Fauststraße;Rtg Vaihingen Viadukt;5;2;2;de:08111:5:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,115147944;48,7318898;;;250;100;;Keine Angabe;Ja
Fauststraße;Fauststraße;NBus Rtg auswärts;5;3;5;de:08111:5:3:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33010_;N10;1;9,114658737;48,73196223;Nein;Nein;150;15;;Stufenhöhe;Nein
Vaihingen Viadukt;Vaihingen Viadukt;Rtg Fauststr.;6;3;1;de:08111:6:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,118699114;48,73325303;;;250;100;;Keine Angabe;Ja
Vaihingen Viadukt;Vaihingen Viadukt;Rtg Engelboldstr.;6;1;2;de:08111:6:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,118753448;48,73323499;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;Rtg Vaihingen Viadukt;8;1;1;de:08111:8:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,127802861;48,73692115;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;Rtg Kaltental;8;1;2;de:08111:8:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,128240037;48,73775696;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;NBus Rtg auswärts;8;3;5;de:08111:8:3:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33010_;N10;1;9,127899172;48,73737066;Nein;Nein;150;15;;Stufenhöhe;Nein
Südheimer Platz;Südheimer Platz;Rtg Heslach Vogelrain;13;1;1;de:08111:13:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20014_;U1,U14;2;9,143629528;48,75664978;;;250;100;;Keine Angabe;Ja
Südheimer Platz;Südheimer Platz;Rtg Bihlplatz;13;2;2;de:08111:13:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20014_;U1,U14;2;9,143643051;48,75662279;;;250;100;;Keine Angabe;Ja
Südheimer Platz;Südheimer Platz;Seilbahn;13;3;3;de:08111:13:3:3;S;08111000;Stuttgart;Stuttgart;1;21;Seilbahn;21020_;20;1;9,142172232;48,75592321;;;;;;Keine Angabe;
Südheimer Platz;Südheimer Platz;Bus Rtg einwärts;13;4;4;de:08111:13:4:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33001_;N1;1;9,144500154;48,75672063;Nein;Nein;250;15;;Ebenerdig;Nein
Bihlplatz;Bihlplatz;Rtg Südheimer Platz;15;3;1;de:08111:15:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20014_;U1,U14;2;9,150682497;48,75931149;;;250;100;;Keine Angabe;Ja
Bihlplatz;Bihlplatz;Rtg Erwin-Schöttle-Platz;15;1;2;de:08111:15:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20014_;U1,U14;2;9,152194691;48,7601278;;;250;100;;Keine Angabe;Ja
Neckartor;Neckartor;Rtg Staatsgalerie;25;1;1;de:08111:25:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_,20009_,20014_;U1,U2,U4,U9,U14;5;9,190172759;48,78613112;;;250;100;;Keine Angabe;Ja
Neckartor;Neckartor;Rtg Stöckach;25;2;2;de:08111:25:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_,20009_,20014_;U1,U2,U4,U9,U14;5;9,190213481;48,78610407;;;250;100;;Keine Angabe;Ja
Neckartor;Neckartor;NBus Rtg auswärts;25;3;4;de:08111:25:0:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33004_,33006_;N4,N6;2;9,190717976;48,78636401;Nein;Ja;250;15;;Stufenhöhe;Nein
Stöckach;Stöckach;Rtg Neckartor;26;1;1;de:08111:26:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_,20009_,20014_;U1,U2,U4,U9,U14;5;9,194960391;48,78899166;;;250;100;;Keine Angabe;Ja
Stöckach;Stöckach;Rtg Metzstr./Karl-Olga-Krhs.;26;2;2;de:08111:26:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_,20009_,20014_;U1,U2,U4,U9,U14;5;9,194987539;48,78897363;;;250;100;;Keine Angabe;Ja
Stöckach;Stöckach;NBus Rtg auswärts;26;4;4;de:08111:26:3:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33004_,33006_;N4,N6;2;9,195000694;48,7888567;Nein;Nein;250;15;;Stufenhöhe;Nein
Metzstraße;Metzstraße;Rtg Stöckach;27;1;1;de:08111:27:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20014_;U1,U2,U14;3;9,200525906;48,7922463;;;250;100;;Keine Angabe;Ja
Metzstraße;Metzstraße;Rtg Mineralbäder;27;2;2;de:08111:27:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20014_;U1,U2,U14;3;9,200553018;48,79221928;;;250;100;;Keine Angabe;Ja
Mineralbäder;Mineralbäder;Rtg Metzstraße;28;1;1;de:08111:28:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20014_;U1,U2,U14;3;9,205676253;48,79697617;;;250;100;;Keine Angabe;Ja
Mineralbäder;Mineralbäder;Rtg Mercedesstr./Wilhelma;28;1;2;de:08111:28:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20014_;U1,U2,U14;3;9,205771162;48,79688608;;;250;100;;Keine Angabe;Ja
Mercedesstraße;Mercedesstraße;Stadtbahn Rtg Mineralbäder;30;1;1;de:08111:30:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20013_,20016_;U1,U2,U13,U16;4;9,211718854;48,8000136;;;250;100;;Keine Angabe;Ja
Mercedesstraße;Mercedesstraße;Stadtbahn Rtg Wilhelmpl./Stadion;30;2;2;de:08111:30:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20013_,20016_;U1,U2,U13,U16;4;9,211745964;48,79998658;;;250;100;;Keine Angabe;Ja
Uff-Kirchhof;Uff-Kirchhof;Rtg Ebitzweg/Augsburger Pl.;32;1;2;de:08111:32:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20013_,20016_;U1,U13,U16;3;9,225925064;48,8049953;;;250;100;;Keine Angabe;Ja
Uff-Kirchhof;Uff-Kirchhof;Rtg Wilhelmsplatz;32;2;1;de:08111:32:2:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20013_,20016_;U1,U13,U16;3;9,225925186;48,80502227;;;250;100;;Keine Angabe;Ja
Uff-Kirchhof;Uff-Kirchhof;NBus Rtg einwärts;32;3;3;de:08111:32:3:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,225571321;48,80504095;Nein;Nein;250;15;;Ebenerdig;Nein
Augsburger Platz;Augsburger Platz;Rtg Uff-Kirchhof;33;1;1;de:08111:33:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,230843685;48,80590274;;;250;100;;Keine Angabe;Ja
Augsburger Platz;Augsburger Platz;Rtg Nürnberger Str.;33;2;2;de:08111:33:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,230816333;48,80587582;;;250;100;;Keine Angabe;Ja
Augsburger Platz;Augsburger Platz;NBus;33;5;3;de:08111:33:5:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,23057224;48,80608313;Nein;Nein;150;17;;Stufenhöhe;Nein
Nürnberger Straße;Nürnberger Straße;Gleis 1;34;1;1;de:08111:34:1:1;S;08111000;Stuttgart;Stuttgart;1;10;S-Bahn;10002_,10003_;S2,S3;2;9,234481399;48,80651585;;;250;96;;Keine Angabe;Nein
Nürnberger Straße;Nürnberger Straße;Gleis 2;34;1;2;de:08111:34:1:2;S;08111000;Stuttgart;Stuttgart;1;11;R-Bahn;11019_,11090_,11091_;MEX19,RE90,MEX90;3;9,234495139;48,8065428;;;;;;Keine Angabe;
Nürnberger Straße;Nürnberger Straße;Gleis 3;34;2;3;de:08111:34:2:3;S;08111000;Stuttgart;Stuttgart;1;11;R-Bahn;11019_,11090_,11091_;MEX19,RE90,MEX90;3;9,234576947;48,80656961;;;;;;Keine Angabe;
Nürnberger Straße;Nürnberger Straße;Gleis 4;34;2;4;de:08111:34:2:4;S;08111000;Stuttgart;Stuttgart;1;10;S-Bahn;10002_,10003_;S2,S3;2;9,234645058;48,80657847;;;250;96;;Keine Angabe;Nein
Nürnberger Straße;Nürnberger Straße;Rtg Augsburger Platz;34;3;1;de:08111:34:3:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,236606748;48,80685321;;;250;100;;Keine Angabe;Ja
Nürnberger Straße;Nürnberger Straße;Rtg Antwerpener Str.;34;4;2;de:08111:34:4:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,236620234;48,8068262;;;250;100;;Keine Angabe;Ja
Nürnberger Straße;Nürnberger Straße;NBus;34;5;3;de:08111:34:5:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,236266573;48,80688988;Nein;Nein;250;15;;Ebenerdig;Nein
Nürnberger Straße;Nürnberger Straße;Ersatzhaltestelle U1E  Rtg Antwerp. Str.;34;6;7;de:08111:34:5:7;S;08111000;Stuttgart;Stuttgart;1;36;SEV-Bus;36002a;S2E;1;9,23572033;48,8065313;;;;;;Keine Angabe;
Nürnberger Straße;Nürnberger Straße;SEV S Rtg Bad Cannstatt;34;7;10;de:08111:34:7:10;S;08111000;Stuttgart;Stuttgart;1;36;SEV-Bus;36002a;S2E;1;9,234591654;48,80680338;;;;;;Keine Angabe;
Antwerpener Straße;Antwerpener Straße;Rtg Nürnberger Str.;35;1;1;de:08111:35:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,242931252;48,80843166;;;250;100;;Keine Angabe;Ja
Antwerpener Straße;Antwerpener Straße;Rtg Beskidenstr.;35;3;2;de:08111:35:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,242944692;48,80839566;;;250;100;;Keine Angabe;Ja
Antwerpener Straße;Antwerpener Straße;NBus;35;2;3;de:08111:35:2:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,24274087;48,80847703;Nein;Nein;250;15;;Stufenhöhe;Nein
Beskidenstraße;Beskidenstraße;Rtg Antwerpener Str.;36;1;1;de:08111:36:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,253790824;48,81019768;;;250;100;;Keine Angabe;Ja
Beskidenstraße;Beskidenstraße;Rtg Fellbach Höhenstr.;36;2;2;de:08111:36:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20016_;U1,U16;2;9,253804257;48,81016168;;;250;100;;Keine Angabe;Ja
Beskidenstraße;Beskidenstraße;NBus;36;3;3;de:08111:36:3:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,25332788;48,81018971;;;;;;Keine Angabe;
Höhenstraße;Fellbach Höhenstraße;Rtg Beskidenstr.;37;1;1;de:08119:37:0:1;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,262335969;48,81185108;;;250;100;;Keine Angabe;Ja
Höhenstraße;Fellbach Höhenstraße;Rtg Esslinger Str.;37;2;2;de:08119:37:0:2;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,262349443;48,81182407;;;250;100;;Keine Angabe;Ja
Höhenstraße;Fellbach Höhenstraße;Rtg Fellbach Beskidenstr.;37;3;3;de:08119:37:0:3;WN;08119020;Fellbach;Fellbach;1,2;33;Nachtbus;33006_;N6;1;9,260660608;48,81172001;;;150;15;;Stufenhöhe;Nein
Esslinger Straße;Fellbach Esslinger Straße;Rtg Höhenstr.;38;1;1;de:08119:38:1:1;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,269363442;48,81222151;;;250;100;;Keine Angabe;Ja
Esslinger Straße;Fellbach Esslinger Straße;Rtg Schwabenlandhalle;38;3;2;de:08119:38:1:2;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,269308981;48,81222164;;;250;100;;Keine Angabe;Ja
Esslinger Straße;Fellbach Esslinger Straße;Rtg Schwabenlandhalle/Kelter;38;2;3;de:08119:38:2:3;WN;08119020;Fellbach;Fellbach;1,2;31;Bus;31212_;212;1;9,269483323;48,81172665;Ja;Ja;250;15;;Ebenerdig;Ja
Esslinger Straße;Fellbach Esslinger Straße;Rtg Postdörfle;38;2;4;de:08119:38:2:4;WN;08119020;Fellbach;Fellbach;1,2;31;Bus;31212_;212;1;9,269565593;48,81183437;Ja;Ja;250;20;;Ebenerdig;Ja
Schwabenlandhalle;Fellbach Schwabenlandhalle;Rtg Esslinger Str.;39;1;1;de:08119:39:1:1;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,270516024;48,8088197;;;250;100;;Keine Angabe;Ja
Schwabenlandhalle;Fellbach Schwabenlandhalle;Rtg Lutherkirche;39;2;2;de:08119:39:2:2;WN;08119020;Fellbach;Fellbach;1,2;20;Stadtbahn;20001_,20016_;U1,U16;2;9,270801973;48,80882802;;;250;100;;Keine Angabe;Ja
Schwabenlandhalle;Fellbach Schwabenlandhalle;Rtg Lutherkirche;39;3;5;de:08119:39:3:5;WN;08119020;Fellbach;Fellbach;1,2;31;Bus;31207_,31212_;207,212;2;9,270843398;48,80893583;Nein;Nein;150;17;;Ebenerdig;Ja
Schwabenlandhalle;Fellbach Schwabenlandhalle;Rtg Kienbachstr.;39;3;6;de:08119:39:3:6;WN;08119020;Fellbach;Fellbach;1,2;31;Bus;31207_,31212_;207,212;2;9,270829832;48,80894486;Ja;Ja;250;20;;Stufenhöhe;Ja
Heslach Vogelrain;Heslach Vogelrain;Rtg Waldeck;43;1;1;de:08111:43:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,138208236;48,75361701;;;250;100;;Keine Angabe;Ja
Heslach Vogelrain;Heslach Vogelrain;Rtg Südheimer Platz;43;2;2;de:08111:43:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,138426001;48,75367969;;;250;100;;Keine Angabe;Ja
Heslach Vogelrain;Heslach Vogelrain;Rtg Rudolf-Sophien-Stift;43;3;4;de:08111:43:0:4;S;08111000;Stuttgart;Stuttgart;1;30,5;"Bus;Ruftaxi";30092_,50092_;92,RT92;2;9,138412079;48,75356281;Nein;Nein;150;15;;Ebenerdig;Nein
Heslach Vogelrain;Heslach Vogelrain;NBus Rtg auswärts;43;5;5;de:08111:43:0:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33001_;N1;1;9,139107472;48,75421841;Nein;Nein;150;15;;Stufenhöhe;Nein
Heslach Vogelrain;Heslach Vogelrain;U9 Endhst./Rtg Südheimer Platz;43;2;3;de:08111:43:0:7;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_;U1;1;9,138358103;48,75371574;;;250;100;;Keine Angabe;Ja
Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);Rtg Börsenpl/Hölderlinpl/Schloss-/Joh-st;55;1;2;de:08111:55:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_;U1,U2,U4;3;9,168600567;48,77713646;;;250;100;;Keine Angabe;Ja
Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);Rtg Rotebühlplatz;55;2;1;de:08111:55:2:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20001_,20002_,20004_;U1,U2,U4;3;9,168546114;48,77712755;;;250;100;;Keine Angabe;Ja
Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);Lnie 43 Rtg Rotebühlplatz;55;3;4;de:08111:55:3:4;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30043_;43;1;9,167854414;48,77778501;Ja;Ja;250;20;;Ebenerdig;Nein
Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);NBus;55;4;5;de:08111:55:4:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33002_,33010_;N2,N10;2;9,168492778;48,77745136;Nein;Ja;250;15;;Ebenerdig;Nein
Büchsenstraße;Büchsenstraße;Rtg Kleiner Schlossplatz;69;0;3;de:08111:69:0:3;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30047_;47;1;9,1745748;48,77749623;Ja;Ja;250;20;;Ebenerdig;
Kleiner Schlossplatz;Kleiner Schlossplatz;Rtg Hbf;70;0;3;de:08111:70:0:3;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30047_;47;1;9,176540884;48,77943558;;;;;;Keine Angabe;
Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;Rtg Stöckach;76;1;1;de:08111:76:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,20133041;48,78923246;;;250;100;;Keine Angabe;Ja
Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;Rtg Bergfriedhof;76;2;2;de:08111:76:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,202119481;48,78916813;;;250;100;;Keine Angabe;Ja
Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;NBus;76;3;4;de:08111:76:1:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,20236419;48,78910475;Nein;Ja;150;15;;Stufenhöhe;Ja
Bergfriedhof;Bergfriedhof;Rtg Karl-Olga-Krankenhaus;77;2;1;de:08111:77:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,204977122;48,78910012;;;250;100;;Keine Angabe;Ja
Bergfriedhof;Bergfriedhof;Rtg Raitelsberg/Ostendplatz;77;1;2;de:08111:77:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,206119984;48,78902614;;;250;100;;Keine Angabe;Ja
Bergfriedhof;Bergfriedhof;NBus;77;3;4;de:08111:77:0:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,206541603;48,78896243;Nein;Nein;150;15;;Stufenhöhe;Nein
Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;Rtg Ostendplatz;78;3;1;de:08111:78:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,210989053;48,78507865;;;250;100;;Keine Angabe;Ja
Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;Rtg Gaisburg;78;1;2;de:08111:78:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,210947965;48,78501578;;;250;100;;Keine Angabe;Ja
Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;Linie 45 Rtg Tal-/Landhausstr.;78;2;4;de:08111:78:2:4;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30045_;45;1;9,210594876;48,78518728;Ja;Ja;250;17;;Ebenerdig;Ja
Gaisburg;Gaisburg;Rtg Leo-Vetter-Bad;79;1;1;de:08111:79:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,215760293;48,78387381;;;250;100;;Keine Angabe;Ja
Gaisburg;Gaisburg;Rtg Wangener-/Landhausstr.;79;2;2;de:08111:79:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,215746414;48,78381088;;;250;100;;Keine Angabe;Ja
Wangener-/Landhausstraße;Wangener-/Landhausstraße;U9 Rtg Schlachthof;80;1;1;de:08111:80:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20009_;U9;1;9,222625944;48,7824669;;;250;100;;Keine Angabe;Ja
Wangener-/Landhausstraße;Wangener-/Landhausstraße;U9 Rtg Brendle (Großmarkt);80;3;2;de:08111:80:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20009_;U9;1;9,222612217;48,78243995;;;250;100;;Keine Angabe;Ja
Wangener-/Landhausstraße;Wangener-/Landhausstraße;NBus Rtg einwärts;80;5;1;de:08111:80:1:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33007_;N7;1;9,223699752;48,78220403;;;;;;Keine Angabe;
Wangener-/Landhausstraße;Wangener-/Landhausstraße;NBus Rtg auswärts;80;5;2;de:08111:80:1:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,223576727;48,78207838;Nein;Nein;250;15;;Stufenhöhe;Nein
Wangener-/Landhausstraße;Wangener-/Landhausstraße;U4 Rtg Gaisburg;80;2;3;de:08111:80:2:7;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,222475627;48,78232331;;;250;100;;Keine Angabe;Ja
Wangener-/Landhausstraße;Wangener-/Landhausstraße;U4 Rtg Brendle (Großmarkt);80;4;4;de:08111:80:2:8;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,222448254;48,78228739;;;250;100;;Keine Angabe;Ja
Brendle (Großmarkt);Brendle (Großmarkt);Rtg Wangener-/Landhausstr.;81;1;1;de:08111:81:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,226744866;48,78155961;;;250;100;;Keine Angabe;Ja
Brendle (Großmarkt);Brendle (Großmarkt);Rtg Im Degen;81;2;2;de:08111:81:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,226731097;48,78152367;;;250;100;;Keine Angabe;Ja
Brendle (Großmarkt);Brendle (Großmarkt);NBus Rtg auswärts;81;3;4;de:08111:81:2:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,227655431;48,78131501;Nein;Nein;250;15;;Stufenhöhe;Nein
Brendle (Großmarkt);Brendle (Großmarkt);NBus Rtg einwärts;81;3;3;de:08111:81:3:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33007_;N7;1;9,226908353;48,78160425;Nein;Nein;250;15;;Stufenhöhe;Nein
Im Degen;Im Degen;Rtg Brendle (Großmarkt);82;1;1;de:08111:82:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,233545136;48,77793106;;;250;100;;Keine Angabe;Ja
Im Degen;Im Degen;Rtg Inselstr.;82;2;2;de:08111:82:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,232934953;48,77838192;;;250;100;;Keine Angabe;Ja
Im Degen;Im Degen;NBus Rtg einwärts;82;3;3;de:08111:82:0:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33007_;N7;1;9,234726165;48,77735314;;;;;;Keine Angabe;
Im Degen;Im Degen;NBus Rtg auswärts;82;3;4;de:08111:82:0:4;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33006_;N6;1;9,235444154;48,77668624;Nein;Nein;250;15;;Stufenhöhe;Nein
Inselstraße;Inselstraße;Rtg Im Degen;83;1;1;de:08111:83:0:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,23831123;48,77589799;;;250;100;;Keine Angabe;Ja
Inselstraße;Inselstraße;Rtg Wasenstr.;83;2;2;de:08111:83:0:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,236788059;48,77603603;;;250;100;;Keine Angabe;Ja
Inselstraße;Inselstraße;NBus Rtg einwärts;83;3;3;de:08111:83:0:3;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33007_;N7;1;9,237168459;48,77591834;;;;;;Keine Angabe;
Wasenstraße;Wasenstraße;U13 Rtg Untertürkheim Bf;84;4;3;de:08111:84:1:7;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20013_;U13;1;9,244676679;48,77549795;;;250;100;;Keine Angabe;Ja
Wasenstraße;Wasenstraße;U9/U13 Rtg Wangen Marktplatz;84;5;4;de:08111:84:1:8;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20009_,20013_;U9,U13;2;9,244635775;48,77548005;;;250;100;;Keine Angabe;Ja
Wasenstraße;Wasenstraße;U4/U9 Rtg Inselstr.;84;1;1;de:08111:84:2:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_,20009_;U4,U9;2;9,242843006;48,77613131;;;250;100;;Keine Angabe;Ja
Wasenstraße;Wasenstraße;U4 Rtg Untertürkheim Bf;84;2;2;de:08111:84:2:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20004_;U4;1;9,242815665;48,77610439;;;250;100;;Keine Angabe;Ja
Großglocknerstraße;Großglocknerstraße;L.61 Rtg Untertürkheim Bf;86;1;3;de:08111:86:1:3;S;08111000;Stuttgart;Stuttgart;1;30,33;"Bus;Nachtbus";30061_,33007_;61,N7;2;9,252718508;48,77840308;Ja;Ja;250;17;;Ebenerdig;Nein
Großglocknerstraße;Großglocknerstraße;L.60/61 Rtg Mönchw./L.61 Rtg Neckarhalde;86;1;4;de:08111:86:1:4;S;08111000;Stuttgart;Stuttgart;1;30,33;"Bus;Nachtbus";30060_,30061_,33006_;60,61,N6;3;9,252718553;48,77841207;Ja;Ja;150;17;;Ebenerdig;Nein
