Nummer,Name,Name mit Ort
5002956,Ersbergschule,Nürtingen Ersbergschule
5002961,Jugendhaus,Aich Jugendhaus
5002962,Im Vogelsang,Neuenhaus Im Vogelsang
5002963,Humpfentalstraße,Nürtingen Humpfentalstraße
5002965,Roßdorf Liebermannstraße,Nürt. Roßdorf Liebermannstr.
5002967,Paulinenstraße,Nellingen Paulinenstraße
5002968,Ruit,Ruit
5002969,Zinsholz,Ruit Zinsholz
5002970,Parksiedlung,Parksiedlung
5002971,Scharnhauser Park,Scharnhauser Park
5002972,Kreuzbrunnen,Scharnhauser Park Kreuzbrunnen
5002973,Technische Akademie,Nellingen Technische Akademie
5002974,Ostfildern,Nellingen Ostfildern
5002976,Plieningen Seemühlenweg,Plieningen Seemühlenweg
5002980,Bürgerhaus,Beuren Bürgerhaus
5002981,Kaiserstraße,Nellingen Kaiserstraße
5002982,Nussweg,Nellingen Nussweg
5002983,Stettiner Straße,Nürtingen Stettiner Str.
5002984,Eibenweg,Nürtingen Eibenweg
5002985,Vendelaustraße,Nürtingen Vendelaustr.
5002986,Otto-Hahn-Straße,Nürtingen Otto-Hahn-Str.
5002987,Steinbeisweg,Nürtingen Steinbeisweg
5002988,Post,Nürtingen Post
5002989,Rümelinstraße,Nürtingen Rümelinstraße
5003000,Autenstraße,Ditzingen Autenstraße
5003001,Glemsaue,Ditzingen Glemsaue
5003002,Pumpstation,Hirschlanden Pumpstation
5003003,Rathausplatz,Hirschlanden Rathausplatz
5003004,Turnhalle,Hirschlanden Turnhalle
5003005,Rose,Schöckingen Rose
5003006,Schloss,Schöckingen Schloss
5003007,Silcherstraße,Schöckingen Silcherstr.
5003008,Ritterstraße,Schöckingen Ritterstr.
5003009,Markt-/Bauernstraße,Ditzingen Markt-/Bauernstr.
5003010,Stadtbad/Altenwohnanlage,Ditz. Stadtbad/Altenwohnanlage
5003011,Gröninger Straße/Baumhalde,Ditz. Gröninger Str./Baumhalde
5003012,Gröninger-/Haldenstraße,Ditz. Gröninger-/Haldenstr.
5003014,Korntaler-/Schubartstraße,Ditz. Korntaler-/Schubartstr.
5003015,Ditzenbrunner-/Knielstraße,Ditz. Ditzenbrunner-/Knielstr.
5003016,Hornbergstr./Lachebrückle,Ditz. H.bergstr./Lachebrückle
5003017,Zollern-/Lichtensteinstraße,Ditz. Zollern-/L.steinstraße
5003019,Am Maurener Berg,Ditzingen Am Maurener Berg
5003020,Bauern-/Breslauer Straße,Ditz. Bauern-/Breslauer Straße
5003021,Breslauer Straße/Kindergarten,Ditz. Breslauer Str./Kinderg.
5003027,Kleiststraße,Böblingen Kleiststr.
5003028,Hirschlander Straße,Ditzingen Hirschlander Str.
5003029,Münchinger Straße,Ditzingen Münchinger Str.
5003030,Württembergstraße,Ditzingen Württembergstraße
5003031,Steinbruch,Schöckingen Steinbruch
5003032,Zeissstraße,Ditzingen Zeissstraße
5003033,Herdweg,Ditzingen Herdweg
5003034,Fuchsbau/Einkaufsmarkt,Ditz. Fuchsbau/Einkaufsmarkt
5003035,Thalesplatz,Ditzingen Thalesplatz
5003050,Schönbergstraße,Kemnat Schönbergstr.
5003051,Hagäckerstraße,Kemnat Hagäckerstr.
5003052,Gutenbergstraße,Kemnat Gutenbergstr.
5003101,Arbeiterzentrum,Böblingen Arbeiterzentrum
5003102,Thermalbad (Stuttgarter Str.),Böbl.Thermalbad (Stuttg. Str.)
5003103,Karlstraße,Böblingen Karlstraße
5003104,Postplatz,Böblingen Postplatz
5003105,Elbenplatz,Böblingen Elbenplatz
5003106,Breslauer Straße,Böblingen Breslauer Str.
5003107,Freibad,Böblingen Freibad
5003108,Nord,Weil i. S. Nord
5003109,Waldorfschule,Böblingen Waldorfschule
5003110,Stuttgarter Straße,Böblingen Stuttgarter Str.
5003112,Friedrich-List-Platz,Böblingen Friedrich-List-Platz
5003113,Tübinger Straße,Echterdingen Tübinger Str.
5003118,Liebenau,Waldenbuch Liebenau
5003119,Postamt,Waldenbuch Postamt
5003120,Glashütte,Waldenbuch Glashütte
5003122,Hallenbad,Waldenbuch Hallenbad
5003123,Lerchenweg,Waldenbuch Lerchenweg
5003125,Klaffensteinstraße,Böblingen Klaffensteinstr.
5003126,Parkstraße (Landratsamt),Böbl. Parkstr. (Landratsamt)
5003127,Schönaicher Straße,Böblingen Schönaicher Str.
5003128,Tübinger Straße,Böblingen Tübinger Str.
5003129,Gänswiese,Waldenbuch Gänswiese
5003130,Stadion,Waldenbuch Stadion
5003131,Hasenhof,Waldenbuch Hasenhof
5003132,Grundschule,Öschelbronn Grundschule
5003133,Maybachstraße,Schönaich Maybachstraße
5003134,Faulhaber,Schönaich Faulhaber
5003135,Thermalbad (Hexenbuckel),Böbl. Thermalbad (Hexenbuckel)
5003136,Keltenburgstraße,Böblingen Keltenburgstr.
5003137,Breitensteiner Straße,Böblingen Breitensteiner Str.
5003138,Maienplatz,Böblingen Maienplatz
5003139,Diezenhalde (Zentrum) Süd,Böbl. Diezenh. (Zentrum) Süd
5003140,Technologiepark,Böblingen Technologiepark
5003141,Leonardo-da-Vinci-Platz,Böbl. Leonardo-da-Vinci-Pl.
5003142,Ganssee,Böblingen Ganssee
5003143,Wilhelmstraße,Weil i. S. Wilhelmstr.
5003144,See (Seestr.),Weil i. S. See (Seestr.)
5003193,Post,Renningen Post
5003194,Keltenstraße,Renningen Keltenstraße
5003195,Süd,Renningen Süd
5003196,Magstadt,Magstadt
5003197,Nord,Maichingen Nord
5003198,Maichingen,Maichingen
5003200,ZOB,Sindelfingen ZOB
5003201,Sindelfingen,Sindelfingen
5003202,Mercedes-Benz Tor VII,Sindelf. Mercedes-Benz Tor VII
5003204,Goldberg-Gymnasium,Sindelf. Goldberg-Gymnasium
5003205,Gottlieb-Daimler-Schule,Sind. Gottlieb-Daimler-Schule
5003206,Frankenstraße,Sindelfingen Frankenstraße
5003207,Landhaussiedlung,Maich. Landhaussiedlung
5003208,Hallenbad,Maichingen Hallenbad
5003209,Rathaus,Maichingen Rathaus
5003210,Solo,Maichingen Solo
5003211,Waldfriedhof,Maichingen Waldfriedhof
5003212,Goldberg,Goldberg
5003214,Daimlerstraße,Schönaich Daimlerstraße
5003216,Evangelische Kirche,Schönaich Evangelische Kirche
5003217,Schillerstraße,Schönaich Schillerstraße
5003218,IBM,Ehningen IBM
5003219,Heerstraße,Gültstein Heerstraße
5003220,Tübinger Straße,Holzgerlingen Tübinger Str.
5003221,Austraße,Waldenbuch Austraße
5003222,Nord,Holzgerlingen Nord
5003223,Einsteinstraße,Gültstein Einsteinstraße
5003224,Junkersstraße,Böblingen Junkersstraße
5003225,Mariengarage,Herrenberg Mariengarage
5003228,Altenzentrum,Holzgerlingen Altenzentrum
5003229,Amundsenstraße,Sindelfingen Amundsenstraße
5003230,Wettbachplatz,Sindelfingen Wettbachplatz
5003231,Gültstein,Gültstein
5003232,Post,Dagersheim Post
5003233,Hallenbad,Herrenberg Hallenbad
5003234,Holzsteig,Gültstein Holzsteig
5003235,Kalkofenstraße,Herrenberg Kalkofenstr.
5003236,Grund- und Hauptsch. Goldberg,Sindelf. G.-u. H.schule Goldb.
5003237,Käthe-Kollwitz-Straße,Herrenberg Käthe-Kollwitz-Str.
5003238,Im Letten,Ehningen Im Letten
5003239,Wengertstraße,Sindelfingen Wengertstr.
5003296,Oswaldstraße,Magstadt Oswaldstraße
5003297,Hutwiesenstraße,Magstadt Hutwiesenstraße
5003298,Brauereiplatz,Magstadt Brauereiplatz
5003300,Kniebisstraße,Magstadt Kniebisstraße
5003301,Esslinger Weg,Magstadt Esslinger Weg
5003302,Johannes-Kepler-Schule,Magstadt J.-Kepler-Schule
5003303,Marktplatz,Magstadt Marktplatz
5003304,Renninger Straße,Magstadt Renninger Str.
5003306,Abzweig Bahnhof,Markgröningen Abzw. Bf
5003307,Pappelweg,Markgröningen Pappelweg
5003308,Pfullinger Straße,Pfullinger Straße
5003309,Tränke,Tränke
5003310,Haus Frank,Markgröningen Haus Frank
5003311,Helene-Lange-Schule,Markgr. H.-Lange-Schule
5003312,Behindertenheim,Markgr. Behindertenheim
5003313,Mitte/Wernerstraße,Markgröningen Mitte/Wernerstr.
5003314,Münchinger Straße,Markgröningen Münchinger Str.
5003315,Sträßle,Markgröningen Sträßle
5003316,Stuttgarter Weg,Markgr. Stuttgarter Weg
5003317,Mitte/Volksbank,Markgröningen Mitte/Volksbank
5003318,Ernst-Bauer-Platz,Renningen Ernst-Bauer-Pl.
5003319,Friedhof,Renningen Friedhof
5003320,Alemannenstraße,Renningen Alemannenstraße
5003322,Glemstal,Schwieberdingen Glemstal
5003323,Robert-Bosch-Straße,Schwieberd. Robert-Bosch-Str.
5003324,Siemensstraße,Schwieberd. Siemensstraße
5003325,Rebsteige,Markgröningen Rebsteige
5003326,Bahnhof (Süd),Oberessl. Bahnhof (Süd)
5003327,Mitte,Schwieberdingen Mitte
5003328,Ludwigsburger Straße,Schwieberd. Ludwigsburger Str.
5003329,Klinik/Schule,Markgr. Klinik/Schule
5003332,Brauerei,Schwieberdingen Brauerei
5003333,Friedhof Sankt Peter,Bietigh. Friedhof Sankt Peter
5003334,Gewerbegebiet Süd,Heimerd. Gewerbegebiet Süd
5003335,Talstraße,Hof und Lembach Talstraße
5003336,Kelter,Hof und Lembach Kelter
5003338,Schule,Oberstenfeld Schule
5003342,Freiberger Straße,Bietigheim Freiberger Str.
5003343,Agentur für Arbeit,Bietigheim Agentur für Arbeit
5003344,Gustav-Rau-Straße,Bietigheim Gustav-Rau-Str.
5003346,Brunnenwiesen,Spielberg Brunnenwiesen
5003347,Krone,Gronau Krone
5003348,Hülbe,Schwieberdingen Hülbe
5003349,Laiblinger Weg,Schwieberd. Laiblinger Weg
5003352,Weizenstraße,Kleinglattbach Weizenstraße
5003353,Ensinger Straße,Kleinglattbach Ensinger Str.
5003355,Lichtenberg,Oberstenfeld Lichtenberg
5003356,Mineralfreibad,Oberstenfeld Mineralfreibad
5003383,Parkäcker,Bietigheim Parkäcker
5003384,Im Feldle,Bietigheim Im Feldle
5003385,Buch Buchzentrum,Bietigheim Buch Buchzentrum
5003386,Tammer Straße,Bissingen Tammer Str.
5003387,Laiern-/R.-Bosch-Straße,Bietigh. Laiern-/R.-Bosch-Str.
5003388,Dürr/Rosenstraße,Bissingen Dürr/Rosenstr.
5003389,Geisinger Straße,Bietigheim Geisinger Str.
5003390,Haus an der Metter,Bietigheim Haus an der Metter
5003393,Carl-Benz-Straße,Bissingen Carl-Benz-Straße
5003394,Dürr/Marbacher Weg,Bissingen Dürr/Marbacher Weg
5003395,Theo-Lorch-Werkstätten,Bietigheim Theo-Lorch-Werkst.
5003397,Laiernstraße,Bietigheim Laiernstraße
5003398,Industriestraße,Bietigheim Industriestraße
5003399,Robert-Bosch-Straße,Tamm Robert-Bosch-Str.
5003400,Gymnasium,Asperg Gymnasium
5003401,Poststräßle,Bietigheim Poststräßle
5003402,Möglinger Straße,Asperg Möglinger Straße
5003404,Saarstraße,Asperg Saarstraße
5003405,Weinstraße,Asperg Weinstraße
5003406,Wilhelmsplatz,Asperg Wilhelmsplatz
5003407,Hohenstaufenstraße,Asperg Hohenstaufenstr.
5003408,Arsenalplatz,Ludwigsburg Arsenalplatz
5003409,August-Bebel-Straße,Eglosheim A.-Bebel-Str.
5003410,Lotter,Ludwigsburg Lotter
5003411,Gänsfußallee,Ludwigsburg Gänsfußallee
5003412,Heilbronner Straße,Ludwigsburg Heilbronner Str.
5003413,Heubergstraße,Kornwestheim Heubergstr.
5003414,Hauffstraße,Kornwestheim Hauffstr.
5003415,Rundsporthalle,Ludwigsburg Rundsporthalle
5003416,Uhlandstraße,Ludwigsburg Uhlandstraße
5003417,Monrepos,Eglosheim Monrepos
5003418,Neckarbrücke,Ludwigsburg Neckarbrücke
5003419,Rathaus,Ludwigsburg Rathaus
5003420,Solitudeallee,Ludwigsburg Solitudeallee
5003421,Teinacher Straße,Eglosheim Teinacher Str.
5003422,Markgröninger Straße,Eglosheim Markgröninger Str.
5003423,Frankfurter Straße,Eglosheim Frankfurter Str.
5003424,Ernst-Sigle-Gymnasium,Kornwesth. Ernst-Sigle-Gymn.
5003425,Bottwartalstraße,Hoheneck Bottwartalstr.
5003426,Lechtstraße,Neckarweihingen Lechtstr.
5003428,Wendeplatte,Neckarweih. Wendeplatte
5003429,Möglinger Straße,Pflugfelden Möglinger Str.
5003430,Aussiedlerhöfe,Möglingen Aussiedlerhöfe
5003431,Wartbergstraße,Möglingen Wartbergstr.
5003432,Bahnhofstraße,Möglingen Bahnhofstr.
5003433,Daimlerstraße,Möglingen Daimlerstr.
5003434,Tennisplätze,Möglingen Tennisplätze
5003435,Hirschgartenweg,Mögl. Hirschgartenweg
5003436,Im Bornrain,Möglingen Im Bornrain
5003437,Löscher Ost,Möglingen Löscher Ost
5003438,Löscher West,Möglingen Löscher West
5003439,Ludwigsburger Straße,Möglingen Ludwigsburger Str.
5003440,Markgröninger Straße,Möglingen Markgröninger Str.
5003442,Hindenburgstraße,Mögl. Hindenburgstraße
5003443,Schwieberdinger Straße,Möglingen Schwieberdinger Str.
5003444,Sonnenbrunnen,Mögl. Sonnenbrunnen
5003446,Hohenstange Tübinger Straße,Tamm Hohenst. Tübinger Straße
5003447,Steigerturmplatz,Bietigheim Steigerturmplatz
5003448,Breuningerland,Ludw. Breuningerland
5003449,Realschule,Tamm Realschule
5003451,Ludwigsburger Straße,Tamm Ludwigsburger Str.
5003452,Hohenstange Stuttgarter Straße,Tamm Hohenst. Stuttgarter Str.
5003453,Hohenstange Ulmer Straße,Tamm Hohenstange Ulmer Straße
5003454,Kreisberufsschule,Ludw. Kreisberufsschule
5003456,Hirschbergstraße,Eglosheim Hirschbergstr.
5003459,Lerchenäcker Endstation,Oberessl. Lerchenäcker Endst.
5003460,Hohenstange Frankfurter Straße,Tamm Hohenst. Frankfurter Str.
5003461,Schwarzwaldstraße,Neckarweih. Schwarzwaldstr.
5003462,Karlsplatz,Ludwigsburg Karlsplatz
5003464,Am Sonnenberg,Ludwigsburg Am Sonnenberg
