Nummer,Name,Name mit Ort
5003634,Backnanger Straße,Winnenden Backnanger Str.
5003636,Seestraße,Winnenden Seestraße
5003637,Kronenplatz,Winnenden Kronenplatz
5003639,Kuchengrund/OVR,Backnang Kuchengrund/OVR
5003640,Neue Rommelshauser Straße,Waibl. Neue Rommelshauser Str.
5003642,Wunnebad,Winnenden Wunnebad
5003644,Wendelkönig,Waiblingen Wendelkönig
5003645,Galgenberg,Waiblingen Galgenberg
5003646,Schwanen,Waiblingen Schwanen
5003647,Schmidener Straße,Waiblingen Schmidener Straße
5003648,Hausgärten,Waiblingen Hausgärten
5003650,Berufsschulzentrum,Waiblingen Berufsschulzentrum
5003651,Talstraße,Waiblingen Talstraße
5003652,Fröbelstraße,Waiblingen Fröbelstraße
5003654,Galerie,Waiblingen Galerie
5003655,Giselastraße,Waiblingen Giselastraße
5003656,Meisenweg,Waiblingen Meisenweg
5003657,Dresdener Ring,Backnang Dresdener Ring
5003658,Stresemannstraße,Backnang Stresemannstr.
5003659,Rietenauer Weg,Backnang Rietenauer Weg
5003660,Gartenstraße,Backnang Gartenstraße
5003661,Biegel,Backnang Biegel
5003662,Carl-Kaelble-Straße,Backnang Carl-Kaelble-Str.
5003663,Züricher Straße,Backnang Züricher Str.
5003664,Salzburger Straße,Maubach Salzburger Str.
5003665,Isarstraße,Waldrems Isarstraße
5003666,Johanneskirche,Backnang Johanneskirche
5003667,Erbstetter Straße,Backnang Erbstetter Str.
5003668,Hasenhälde,Backnang Hasenhälde
5003669,Rathaus,Maubach Rathaus
5003670,Marbacher Straße,Heiningen Marbacher Str.
5003672,Ortsmitte,Kleinaspach Ortsmitte
5003673,Friedrich-List-Straße,Großaspach Friedrich-List-Str.
5003674,Forstboden,Großaspach Forstboden
5003675,Gertrud-Bäumer-Weg,Backn. Gertrud-Bäumer-Weg
5003680,Seehof,Backnang Seehof
5003682,Gemeindehalle,Kirchheim (N) Gemeindehalle
5003683,Daimlerstraße,Korb Daimlerstraße
5003684,Alfred-Diebold-Weg,Waiblingen Alfred-Diebold-Weg
5003685,Bajastraße,Waiblingen Bajastraße
5003686,Anton-Schmidt-Straße,Waiblingen Anton-Schmidt-Str.
5003687,Finanzamt,Waiblingen Finanzamt
5003688,Finkenberg,Waiblingen Finkenberg
5003689,Bühl,Korb Bühl
5003690,Schippertsäcker,Waiblingen Schippertsäcker
5003691,Untere Mayenner Straße,Waibl. Untere Mayenner Str.
5003692,Boskopweg,Waiblingen Boskopweg
5003693,Im Baumstückle,Waiblingen Im Baumstückle
5003696,Brückenstraße,Winnenden Brückenstr.
5003698,Christofstraße,Waiblingen Christofstraße
5003699,Seniorenzentrum,Waiblingen Seniorenzentrum
5003701,Abzweig,Rohrbronn Abzw.
5003702,Rathaus,Geradstetten Rathaus
5003703,Mitte,Geradstetten Mitte
5003704,Reinhold-Maier-Straße,Grunbach Reinhold-Maier-Str.
5003706,Lindenplatz,Hebsack Lindenplatz
5003707,Markgraben,Hebsack Markgraben
5003708,Welzheimer Straße,Schorndorf Welzheimer Str.
5003710,Kirche,Weiler Kirche
5003711,Beutelsbach,Beutelsbach
5003712,Grunbacher Straße,Großheppach Grunb. Str.
5003713,Pflegeheim,Winterbach Pflegeheim
5003714,Remsbrücke,Winterbach Remsbrücke
5003715,Stuttgarter-/Weststraße,Grunbach Stuttgarter-/Weststr.
5003716,Künkelinschule,Schorndorf Künkelinschule
5003719,Schule,Althütte Schule
5003720,Alte Winnender Steige,Waibl. A. Winnender Steige
5003721,Birkenweg,Waiblingen Birkenweg
5003722,Steingrube,Waiblingen Steingrube
5003723,Junge Weinberge,Waiblingen Junge Weinberge
5003724,Oberer Rosberg,Waiblingen Oberer Rosberg
5003725,Buchenweg,Waiblingen Buchenweg
5003726,Löwenbrunnen,Fellbach Löwenbrunnen
5003728,Im Kusterfeld,Backnang Im Kusterfeld
5003729,Ebniseestraße,Althütte Ebniseestraße
5003730,Vorderbüchelberg,Spiegelb. Vorderbüchelberg
5003731,Tausschule,Backnang Tausschule
5003743,Seestraße,Rommelshausen Seestraße
5003745,Austraße,Grunbach Austraße
5003746,Kelterwiesenbach,Geradstetten Kelterwiesenbach
5003747,Etyeker Platz,Geradstetten Etyeker Platz
5003748,Bahnüberführung,Geradst. Bahnüberführung
5003749,Kelterstraße,Grunbach Kelterstraße
5003752,Schorndorfer Straße,Grunbach Schorndorfer Str.
5003753,Dietrich-Bonhoeffer-Straße,Geradstetten D.-Bonhoeffer-Str
5003754,Am Bronnbach,Weiler Am Bronnbach
5003800,Altbacher Hof,Altbach Altbacher Hof
5003801,Im Braunkiel,Altbach Im Braunkiel
5003802,Losburgstraße,Altbach Losburgstraße
5003803,Rathaus,Altbach Rathaus
5003804,Gemeindehalle,Altbach Gemeindehalle
5003805,Charlottenplatz,Esslingen (N) Charlottenplatz
5003806,Reichenbacher Straße,Baltmannsw. Reichenbacher Str.
5003807,Alte Heusteige,Zell Alte Heusteige
5003810,Indexstraße/Bahnhof,Oberesslingen Indexstr/Bahnhof
5003812,Thomashardter Straße,Hegenlohe Thomashardter Straße
5003816,Stauferstraße,Altbach Stauferstraße
5003817,Feuerwehr,Altbach Feuerwehr
5003818,Haldenrainweg,Altbach Haldenrainweg
5003819,Robert-Bosch-Straße,Neckartenzl. Robert-Bosch-Str.
5003820,Tischardter Straße,Kohlberg Tischardter Straße
5003821,Metzinger Straße,Kohlberg Metzinger Str.
5003822,Naturschutzzentrum,Schopfloch Naturschutzzentrum
5003823,Unterm Greut,Schopfloch Unterm Greut
5003824,Torfgrube,Schopfloch Torfgrube
5003893,Bildungszentrum,Weilheim (T) Bildungszentrum
5003894,Kreissparkasse/Brunnenstraße,Weilh.(T) KSK/Brunnenstr.
5003895,Weinsteige,Weilheim (T) Weinsteige
5003896,Limburgschule/Bissinger Straße,Weilh.(T) Limb.sch./Biss. Str.
5003897,Maierhöfe,Weilheim (T) Maierhöfe
5003898,Badstraße,Altbach Badstraße
5003899,Egelsberg Egelsbergstraße,Weilh.(T) Egb. Egelsbgstr.
5003900,Egelsberg Teckstraße,Weilh.(T) Egb. Teckstraße
5003901,Weinberg-/Teckstraße,Reichenb.(F) Weinberg-/Teckstr
5003903,Leintel,Reichenb.(F) Leintel
5003904,Steinäckerstraße,Reichenb.(F) Steinäckerstr.
5003905,Schillerstraße,Reichenbach (F) Schillerstr.
5003912,Im Unteren Zehen,Wiflingsh. Im Unt.Zehen
5003920,Hochstetter Weg,Zollberg Hochstetter Weg
5003932,Schlatterhöhe L 1212,Schopfl. Schlatterhöhe L 1212
5003933,Beurener Steige,Beuren Beurener Steige
5003937,Schillerstraße,Neckartailfingen Schillerstr.
5003938,Eichendorffstraße,Neckartailf. Eichendorffstr.
5003939,Freilichtmuseum,Beuren Freilichtmuseum
5003940,Stuifenstraße,Plochingen Stuifenstraße
5003941,K 1206 (Bahnhof),Reichenb.(F) K 1206 (Bahnhof)
5003943,Zähringer Straße,Lindorf Zähringer Straße
5003944,Kruichling,Kirchheim (T) Kruichling
5003945,Lindorfer Weg,Kirchheim (T) Lindorfer Weg
5003952,Bohnauhaus,Kirchheim (T) Bohnauhaus
5003953,Otto-Hahn-Straße,Kirchheim (T) Otto-Hahn-Straße
5003954,Willi-Bleicher-Straße,Kirchh.(T) Willi-Bleicher-Str.
5003955,Einsteinstraße,Kirchheim (T) Einsteinstraße
5003956,Heinkelstraße,Kirchheim (T) Heinkelstraße
5003958,Gaiserplatz,Kirchheim (T) Gaiserplatz
5003959,Haldenstraße,Ötlingen Haldenstr.
5003960,Hahnweidstraße,Kirchheim (T) Hahnweidstraße
5003995,Manzeller Weg,Manzeller Weg
5003996,In den Stegwiesen,In den Stegwiesen
5003997,Hafenbahnstraße (FOB),Hafenbahnstr. (FOB)
5003998,Hochschulzentrum,Esslingen (N) Hochschulzentrum
5003999,Lenzhalde,Esslingen (N) Lenzhalde
5004000,Am Schönen Rain,Esslingen (N) Am Schönen Rain
5004001,Brandenburger Straße,Oberessl. Brandenburger Str.
5004002,Steinhalde,Oberesslingen Steinhalde
5004003,Kimmichsweiler Weg,Liebersbr. Kimmichsweiler Weg
5004004,Krankenhaus,Oberessl. Krankenhaus
5004005,Bismarckstraße,Esslingen (N) Bismarckstr.
5004006,Schwimmbad,Esslingen (N) Schwimmbad
5004007,Schelztor,Esslingen (N) Schelztor
5004008,Schlachthausbrücke,Essl.(N) Schlachthausbrücke
5004009,Volkshochschule,Esslingen (N) Volkshochschule
5004010,Cannstatter Straße,Mettingen Cannstatter Str.
5004011,Burgunderstraße,Mettingen Burgunderstr.
5004012,Weinstraße,Mettingen Weinstraße
5004013,Stadtgrenze,Stadtgrenze
5004015,Königsallee,Weil Königsallee
5004016,Gestütsweg,Weil Gestütsweg
5004017,Weil,Weil
5004020,Hangelstein Kirche,Zell Hangelstein Kirche
5004021,Albblick,Zell Albblick
5004022,Hochschule,Esslingen (N) Hochschule
5004023,Rosenau,Oberesslingen Rosenau
5004024,Gartenstadt,Oberessl. Gartenstadt
5004026,Weiherstraße,Oberessl. Weiherstraße
5004027,Zimmerbachstraße,Oberesslingen Zimmerbachstr.
5004028,Hirschlandkopf,Esslingen (N) Hirschlandkopf
5004029,Kreuzstraße,Oberesslingen Kreuzstr.
5004031,Reutlinger Straße,Esslingen (N) Reutlinger Str.
5004032,Ebershaldenfriedhof,Essl.(N) Ebershaldenfriedhof
5004033,Neckar Forum,Esslingen (N) Neckar Forum
5004034,Kleiner Markt,Esslingen (N) Kleiner Markt
5004035,Stuttgarter Straße,Pliensauvorstadt Stuttg. Str.
5004036,Karl-Pfaff-Straße,Pliensauvorstadt K.-Pfaff-Str.
5004037,Adalbert-Stifter-Schule,Pliensauv. A.-Stifter-Schule
5004038,Parkstraße,Pliensauv. Parkstraße
5004039,VfL Sportplatz,Pliensauvorstadt VfL Sportpl.
5004040,Schillerplatz,Esslingen (N) Schillerplatz
5004041,Neckarfreibad,Esslingen (N) Neckarfreibad
5004042,Schwertmühle,Oberessl. Schwertmühle
5004043,Max-Planck-Straße,Oberesslingen Max-Planck-Str.
5004044,Zeppelinstraße,Oberesslingen Zeppelinstr.
5004045,Röntgenstraße,Oberesslingen Röntgenstr.
5004047,Alleenstraße,Zell Alleenstraße
5004050,Sirnauer Hof,Sirnau Sirnauer Hof
5004051,Schwalbenweg,Sirnau Schwalbenweg
5004052,Finkenweg,Sirnau Finkenweg
5004053,Dätzinger Weg,Schafhausen Dätzinger Weg
5004054,Esslinger Straße,Deizisau Esslinger Str.
5004055,Wert,Deizisau Wert
5004057,Rathaus,Deizisau Rathaus
5004058,Schule,Deizisau Schule
5004060,Plochinger Str.,Deizisau Plochinger Straße
5004062,Hirschlandstraße,Oberesslingen Hirschlandstr.
5004063,Lenaudenkmal,Esslingen (N) Lenaudenkmal
5004064,Eberhard-Bauer-Stadion,Weil E.-Bauer-Stadion
5004065,Wannenrain,Weil Wannenrain
5004066,Mercedes-Benz,Mercedes-Benz
5004067,Am Mittelkai,Am Mittelkai
5004068,Amstetter Straße,Amstetter Straße
5004069,Lammgarten,Oberesslingen Lammgarten
5004070,Oberhof,Oberhof
5004071,Rotes Kreuz,Liebersbr. Rotes Kreuz
5004072,Altbacher Weg,Liebersbr. Altbacher Weg
5004073,Hirschlandhof,Oberessl. Hirschlandhof
5004074,Weißer Stein,Plochingen Weißer Stein
5004075,Kreissparkasse,Baltmannsw. Kreissparkasse
5004076,Schurwaldhöhe,Baltmannsw. Schurwaldhöhe
5004077,Waldhorn,Hohengehren Waldhorn
5004078,Kindergarten,Hohengehren Kindergarten
5004079,Tiefgarage,Hohengehren Tiefgarage
5004080,Goldboden,Winterbach Goldboden
5004081,Manolzweiler,Winterbach Manolzweiler
5004082,Engelberg,Winterbach Engelberg
5004083,Bahnunterführung,Winterbach Bahnunterf.
5004084,Sirnauer Brücke,Oberessl. Sirnauer Brücke
5004086,Unterdorfstraße,Köngen Unterdorfstraße
5004088,Rathaus,Köngen Rathaus
5004089,Linde,Köngen Linde
5004090,Betz,Köngen Betz
5004091,Alup,Köngen Alup
5004092,Plochinger Straße,Köngen Plochinger Str.
5004093,Linde,Unterensingen Linde
5004094,Katharinenstaffel,Essl.(N) Katharinenstaffel
5004095,Finanzamt,Esslingen (N) Finanzamt
5004097,Geriatrisches Zentrum,Kennenb. Geriatrisches Zentrum
5004098,Kennenburg,Kennenburg
5004099,Kohlerweg,Hegensberg Kohlerweg
5004100,Anhäuserstraße,Hegensberg Anhäuserstraße
5004101,Kriegerdenkmal,Hegensb. Kriegerdenkmal
5004102,Kirche,Liebersbronn Kirche
5004103,Neue Straße,Liebersbronn Neue Straße
5004104,Alte Steige,Liebersbronn Alte Steige
5004105,Jägerhaus,Liebersbronn Jägerhaus
5004106,Georgii-Waldstadion,Liebersbr. Georgii-Waldstadion
5004107,Dulkhäusle,Wiflingsh. Dulkhäusle
5004108,Alte Kelter,Esslingen (N) Alte Kelter
5004109,Sulzgrieser Steige,Essl.(N) Sulzgrieser Steige
5004110,Ebene,Esslingen (N) Ebene
5004111,Krummenacker,Krummenacker
5004112,Krone,Sulzgries Krone
5004113,Zentrum,Sulzgries Zentrum
5004114,Bürgerhaus RSKN,Rüdern Bürgerhaus RSKN
5004115,Paradiesweg,Rüdern Paradiesweg
5004116,Glocke,Rüdern Glocke
5004118,Bergstraße,Sulzgries Bergstraße
5004119,Kelter,Neckarhalde Kelter
5004120,Stahlackerweg,Neckarhalde Stahlackerweg
5004121,Endstation,Neckarhalde Endstation
5004122,Panorama-Klinik,Essl.(N) Panorama-Klinik
5004123,Burg,Esslingen (N) Burg
5004124,Hohenkreuz,Hohenkreuz
5004125,Wäldenbronn Kreuzung,Hkr. Wäldenbronn Kreuzung
5004126,Langer Weg,Wäldenbr. Langer Weg
5004127,Brunnen,Wäldenbronn Brunnen
5004128,Brückle,Wäldenbronn Brückle
5004129,Betriebshof,Wäldenbronn Betriebshof
5004130,Flandernstraße,Sankt Bernhardt Flandernstr.
5004131,Eugen-Bolz-Straße,Sankt Bernhardt E.-Bolz-Straße
5004132,Kirchackerstraße,Sankt Bernhardt Kirchackerstr.
5004133,Bärenwiesen,Serach Bärenwiesen
5004134,Seracher Straße,Serach Seracher Straße
5004135,Schulzentrum Nord,Serach Schulzentr. Nord
5004136,Sängerkranz,Sankt Bernhardt Sängerkranz
5004137,Talstraße,Sankt Bernhardt Talstraße
5004139,Grüner Kranz,Wiflingsh. Grüner Kranz
5004140,Hubertusweg,Wiflingsh. Hubertusweg
5004141,Waldackerweg,Wiflingsh. Waldackerweg
5004143,Adenauerbrücke (oben),Oberessl. Adenauerbr. (oben)
5004144,See,Berkheim See
5004145,Schaichhofstraße,Weil i. S. Schaichhofstr.
5004146,Firma Festo,Berkheim Firma Festo
5004147,Vesperstüble,Berkheim Vesperstüble
5004148,Gemeindezentrum,Berkh. Gemeindezentrum
5004149,Am Wiesengrund,Berkh. Am Wiesengrund
5004151,Jakobstraße,Berkheim Jakobstraße
5004152,Kronenstraße,Berkheim Kronenstraße
5004153,Kiebitzweg,Kirchheim (T) Kiebitzweg
5004154,Industriegebiet,Aichschieß Industriegeb.
5004155,Kreuzung,Aichschieß Kreuzung
5004156,Kreisverkehr,Schanbach Kreisverkehr
5004157,Schule,Schanbach Schule
5004158,Kindergarten,Schanbach Kindergarten
5004159,Rössle,Schanbach Rössle
5004160,Lobenroter Hof,Schanb. Lobenroter Hof
5004161,Lobenrot Ort,Schanb. Lobenrot Ort
5004162,Siedlung,Schanbach Siedlung
5004163,Krummhardt Abzweig,Aichschieß Krummhardt Abzw.
5004164,Krummhardt Ort,Aichsch. Krummhardt Ort
5004165,Kronenstraße,Aichelberg Kronenstraße
5004166,Rathaus,Aichelberg Rathaus
5004167,Holl,Aichelberg Holl
5004168,Keplerstraße,Oberessl. Keplerstraße
5004169,Zentrum,Zell Zentrum
5004170,Berufliches Schulzentrum,Zell Berufliches Schulzentrum
5004171,Katzenkopf,Wäldenbronn Katzenkopf
5004172,Esslinger Straße,Stetten i. R. Esslinger Str.
5004173,Johannesstraße,Zell Johannesstraße
5004174,Eichendorffstraße,Zollberg Eichendorffstr.
5004175,Eichendorffschule,Zollb. Eichendorffschule
5004176,Braungartweg,Zollberg Braungartweg
5004177,Zollernplatz,Zollberg Zollernplatz
5004178,Zollhausweg,Zollberg Zollhausweg
5004179,Realschule,Zollberg Realschule
5004180,Jusiweg,Zollberg Jusiweg
5004181,Backhaus,Dachtel Backhaus
5004185,Schaichhofsiedlung,Weil i. S. Schaichhofsiedlung
5004186,Stuttgarter Straße/Eichholz,Maich. Stuttg. Str./Eichholz
5004188,Dachsklinge,Sindelfingen Dachsklinge
5004189,Bergsiedlung,Dachtel Bergsiedlung
5004190,Bergsiedlung (Keplerstraße),Dachtel Bergsiedl. (Keplerstr)
5004191,Friedrich-Schiller-Schule,Neuh.(F) F.-Schiller-Schule
5004192,Troppel,Weil i. S. Troppel
5004193,Holzgerlingen,Holzgerlingen
5004194,Schule,Dätzingen Schule
5004195,Döffinger Straße,Darmsheim Döffinger Str.
5004197,Theodor-Heuss-Gymnasium,Oberessl. Th.-Heuss-Gymnasium
5004200,Herderstraße,Oberesslingen Herderstr.
5004201,Schorndorfer Straße,Oberessl. Schorndorfer Str.
5004202,Schule,Sulzgries Schule
5004203,Ortseingang,Hegensberg Ortseingang
5004204,Linde,Hegensberg Linde
5004205,Sindelfinger Straße,Böblingen Sindelfinger Str.
5004206,Abzweig,Holzgerlingen Abzw.
5004207,Mercedes-Benz Tor V,Sind. Mercedes-Benz Tor V
5004208,Hohenzollernstraße,Holzgerlingen Hohenzollernstr.
5004210,Rathaus,Holzgerlingen Rathaus
5004211,Kirchheim (T),Kirchheim (T)
5004212,Eiserne Hand,Liebersbr. Eiserne Hand
5004213,Marktplatz,Kirchheim (T) Marktplatz
5004214,Grundschule,Bissingen (T) Grundschule
5004215,Brahmsstraße,Kirchheim (T) Brahmsstraße
5004216,Kirchheimer Straße,Notzingen Kirchheimer Str.
5004217,Wellinger Straße,Notz. Wellinger Straße
5004218,Rathaus,Notzingen Rathaus
5004219,Hochdorfer Straße,Notzingen Hochdorfer Str.
5004220,Talbachbrücke,Hochdorf Talbachbrücke
5004221,Roßwälder Straße,Hochdorf Roßwälder Str.
5004222,Rathaus,Hochdorf Rathaus
5004223,Weberei,Reichenbach (F) Weberei
5004224,Reichenbach (F),Reichenbach (F)
5004225,Ulmer Straße,Plochingen Ulmer Str.
5004226,Kreissparkasse,Plochingen Kreissparkasse
5004227,Eisenbahnstraße,Plochingen Eisenbahnstraße
5004228,Stadtplatz,Wernau (N) Stadtplatz
5004229,Kapelle,Plochingen Kapelle
5004230,Panoramastraße,Plochingen Panoramastraße
5004231,Beethovenstraße,Plochingen Beethovenstraße
5004232,Lettenäcker,Plochingen Lettenäcker
5004233,Stumpenhof,Plochingen Stumpenhof
5004234,Stuttgarter-/Hauptstraße,Reichenb.(F) Stgt.-/Hauptstr.
5004235,Schulzentrum,Reichenb.(F) Schulzentrum
5004236,Schönblick,Reichenb.(F) Schönblick
5004237,Albstraße,Reichenbach (F) Albstraße
5004238,Hochhaus,Reichenbach (F) Hochhaus
5004240,Risshalde,Reichenbach (F) Risshalde
5004241,Wernau (N),Wernau (N)
5004242,Kirche Sankt Erasmus,Wernau(N) Kirche Sankt Erasmus
5004244,Dorotheenweg,Wernau (N) Dorotheenweg
5004245,Marienstraße,Wernau (N) Marienstraße
5004246,Bergstraße,Wernau (N) Bergstraße
5004247,Friedrich-List-Straße,Wernau (N) Friedr.-List-Str.
5004248,Max-Eyth-Straße,Wernau (N) Max-Eyth-Str.
5004249,Brühl,Wernau (N) Brühl
5004251,Realschule,Wernau (N) Realschule
5004254,Eulenberg,Wernau (N) Eulenberg
5004255,Pfostenberg,Plochingen Pfostenberg
5004257,Wendlingen (N),Wendlingen (N)
5004258,Stadtmitte,Wendlingen (N) Stadtmitte
5004263,Karpatenweg,Ötlingen Karpatenweg
5004264,Römerstraße,Dettingen (T) Römerstr.
5004265,Krankenhaus,Kirchheim (T) Krankenhaus
5004266,Stadthalle,Kirchheim (T) Stadthalle
5004267,Fußgängerzone,Kirchheim (T) Fußgängerzone
5004268,Polizeiwache,Kirchheim (T) Polizeiwache
5004269,Eichendorffstraße,Kirchheim (T) Eichendorffstr.
5004270,Straßenmeisterei,Kirchheim (T) Straßenmeisterei
5004271,Abzweig Bissingen,Dettingen (T) Abzw. Bissingen
5004272,Robert-Bosch-Straße,Dettingen (T) R.-Bosch-Straße
5004273,Hanfstraße,Dettingen (T) Hanfstraße
5004274,Volksbank,Dettingen (T) Volksbank
5004275,Obere Straße,Dettingen (T) Obere Straße
5004276,Neue Schule,Dettingen (T) Neue Schule
5004277,Katholische Kirche,Dettingen (T) Kath. Kirche
5004278,Goldmorgen,Dettingen (T) Goldmorgen
5004279,Teckhalle,Owen Teckhalle
5004280,Beurener Straße,Owen Beurener Straße
5004281,Rebenweg,Owen Rebenweg
5004282,Brucken Untere Straße,Unterl. Brucken Untere Straße
5004283,Bahnhofstraße,Unterlenningen Bahnhofstraße
5004284,Rathaus,Unterlenningen Rathaus
5004286,Betriebshof,Sirnau Betriebshof
5004287,Industriegebiet,Wendlingen (N) Industriegebiet
5004288,Wilhelm-Maier-Straße,Köngen Wilhelm-Maier-Straße
5004289,Blumenstraße,Unterensingen Blumenstraße
5004290,Stern,Unterensingen Stern
5004295,Kapellenstraße,Wendlingen (N) Kapellenstraße
5004296,Schulzentrum,Wendlingen (N) Schulzentrum
5004297,Schützenstraße,Wendlingen (N) Schützenstraße
5004298,Lerchenstraße,Oberboihingen Lerchenstraße
5004299,Kreissparkasse,Oberboihingen Kreissparkasse
5004300,Stattmannstraße,Oberboihingen Stattmannstraße
5004301,Inselbad,Zizishausen Inselbad
5004302,Realschule,Nürtingen Realschule
5004303,Zeller Straße,Ohmden Zeller Straße
5004304,Schillerplatz,Nürtingen Schillerplatz
5004305,Metzinger Straße,Nürtingen Metzinger Straße
5004307,Am Wiesenrain,Kirchheim (T) Am Wiesenrain
5004308,Eichwasen,Neckartenzlingen Eichwasen
5004309,Metzinger Straße,Neckartenzl. Metzinger Straße
5004310,Auwiesenschule,Neckartenzl. Auwiesenschule
5004311,Kleiderwerk Adler,Neckartenzl. Kleiderwerk Adler
5004312,Heerweg,Großbettlingen Heerweg
5004313,Neckartenzlinger Straße,Bempfl. Neckartenzlinger Str.
5004314,Katholische Kirche,Bempflingen Katholische Kirche
5004315,Lindenstraße,Bempflingen Lindenstraße
5004316,Rathaus,Bempflingen Rathaus
5004317,Martinskirche,Kirchheim (T) Martinskirche
5004319,Teckstraße,Kirchheim (T) Teckstraße
5004320,Stadion,Kirchheim (T) Stadion
5004321,Hörnlesweg,Kohlberg Hörnlesweg
5004322,Wartehalle,Jesingen Wartehalle
5004323,Rathaus,Jesingen Rathaus
5004324,Bahnhof,Holzmaden Bf
5004325,Schluchtweg,Weilheim (T) Schluchtweg
5004327,KSK/Kirchheimer Str.,Weilh.(T) KSK/Kirchheimer Str.
5004328,Altvaterweg,Kirchheim (T) Altvaterweg
5004329,Freiwaldaustraße,Kirchheim (T) Freiwaldaustraße
5004330,Bulkesweg,Kirchheim (T) Bulkesweg
5004331,Tannenbergstraße,Kirchheim (T) Tannenbergstraße
5004332,Bismarckstraße,Kirchheim (T) Bismarckstraße
5004333,Konrad-Widerholt-Halle,Kirchheim (T) K.-W.-Halle
5004334,Spielplatz,Kirchheim (T) Spielplatz
5004335,Parkplatz Schlossgymnasium,Kirchh.(T) Parkpl. Schlossg.
5004338,Hegelstraße,Kirchheim (T) Hegelstraße
5004339,Fabrikstraße,Ötlingen Fabrikstraße
5004340,Kirche,Ötlingen Kirche
5004341,Ortsmitte,Ötlingen Ortsmitte
5004343,Halde,Ötlingen Halde
5004344,Warth,Ötlingen Warth
5004345,Ötlingen,Ötlingen
5004346,Mörikeschule,Ötlingen Mörikeschule
5004347,Brühl,Lindorf Brühl
5004349,Kreissparkasse,Lindorf Kreissparkasse
5004350,Schlossgymnasium,Kirchheim (T) Schlossgymnasium
5004351,Habichtweg,Kirchheim (T) Habichtweg
5004352,Milanweg,Kirchheim (T) Milanweg
5004353,Benzenhofweg,Kirchheim (T) Benzenhofweg
5004354,Schafhof,Kirchheim (T) Schafhof
5004355,Waldfriedhof,Kirchheim (T) Waldfriedhof
5004356,Uhlandgymnasium,Kirchheim (T) Uhlandgymnasium
5004359,Max-Eyth-Schule,Kirchheim (T) Max-Eyth-Schule
5004361,Badwiesen,Kirchheim (T) Badwiesen
5004362,Lerchenstraße,Weilheim (T) Lerchenstraße
5004363,Ziegelwasen,Kirchheim (T) Ziegelwasen
5004364,Hugo-Wolf-Weg,Kirchheim (T) Hugo-Wolf-Weg
5004365,Wellingen Kirchle,Notzingen Wellingen Kirchle
5004366,Wellingen Schlierbacher Str.,Notz. Well. Schlierbacher Str.
5004368,Ötlinger Straße,Notzingen Ötlinger Straße
5004369,Freitagshof,Wernau (N) Freitagshof
5004373,Amtsgericht,Nürtingen Amtsgericht
5004375,Plochinger Straße,Nürtingen Plochinger Straße
5004376,Kirchheimer Straße,Nürtingen Kirchheimer Straße
5004377,Ph.-M.-Hahn-Schule,Nürtingen Ph.-M.-Hahn-Schule
5004378,Ostsiedlung,Nürtingen Ostsiedlung
5004379,West,Reudern West
5004380,Mitte,Reudern Mitte
5004381,Ost,Reudern Ost
5004382,Bürgersee,Kirchheim (T) Bürgersee
5004383,Nägelestal,Kirchheim (T) Nägelestal
5004384,Steingaustraße,Kirchheim (T) Steingaustraße
5004385,Henriettenstraße,Kirchheim (T) Henriettenstraße
5004386,Am Wasen,Ötlingen Am Wasen
5004387,Fauslerstraße,Jesingen Fauslerstraße
5004388,Siegenbergplatz,Reichenbach (F) Siegenbergpl.
5004390,Friedhof,Ohmden Friedhof
5004391,Rathaus,Ohmden Rathaus
5004392,Siedlung,Ohmden Siedlung
5004393,Platz,Holzmaden Platz
5004394,Jahnstraße,Weilheim (T) Jahnstraße
5004395,Kirchheimer Str./Hegelstraße,Weilh.(T) Kirchh.Str./Hegelstr
5004396,Lange Morgen,Weilheim (T) Lange Morgen
5004398,Neidlinger Straße,Weilheim (T) Neidlinger Straße
5004399,Abzweigung Hepsisau,Weilheim (T) Abzw. Hepsisau
5004400,Zazenhausen Krone,Zazenhausen Krone
5004401,Zuffenhausen Reibedanz,Zuffenhausen Reibedanz
5004402,Werner und Pfleiderer,Werner und Pfleiderer
5004403,Ziegeleistraße,Frickenhausen Ziegeleistraße
5004404,Auf dem Lerchenberg,Nürtingen Auf dem Lerchenberg
5004405,Rathaus,Hepsisau Rathaus
5004406,Fabrikstraße,Neidlingen Fabrikstraße
5004407,Mitte,Neidlingen Mitte
5004408,Leerwasen,Neidlingen Leerwasen
5004409,Schlossgärten,Neidlingen Schlossgärten
5004410,Industriegebiet,Nabern Industriegebiet
5004411,Gartenstraße,Nabern Gartenstraße
5004412,Fabrikstraße,Bissingen (T) Fabrikstraße
5004413,Wilhelmstraße,Bissingen (T) Wilhelmstraße
5004415,Rathaus,Bissingen (T) Rathaus
5004416,See,Bissingen (T) See
5004417,Rathaus,Ochsenwang Rathaus
5004418,Oberlenningen,Oberlenningen
5004419,Abzweig,Schlattstall Abzw.
5004420,Grünenbergstraße,Gutenberg Grünenbergstraße
5004421,Post,Gutenberg Post
5004422,Schlatterhöhe B465,Schopfloch Schlatterhöhe B465
5004423,Kreislerstraße,Schopfloch Kreislerstraße
5004424,Rathaus,Schopfloch Rathaus
5004425,Reußensteinstraße,Schopfloch Reußensteinstraße
5004427,Hermann-Löns-Straße,Nürtingen Hermann-Löns-Straße
5004428,Untere Straße,Erkenbrechtsweiler Untere Str.
5004429,Schule,Frickenhausen Schule
