Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
5908;Limburgschule/Kelterstraße;Weilh.(T) Limb.sch./Kelterstr.;de:08116:5908;8116070;Weilheim (T);Weilheim (T);ES;71;Bus;174,177;31174_,31177_;2;31;9,536050237;48,61435214
5910;Riedwiesen;Aich Riedwiesen;de:08116:5910;8116081;Aichtal;Aich;ES;49,59;Bus;75,E,190;30075_,30075a,31190_;3;30,31;9,232377104;48,63415237
5911;Wöhr-Tours-Depot;Weissach Wöhr-Tours-Depot;de:08115:5911;8115052;Weissach (BB);Weissach (BB);BB;56;"Bus;Nachtbus";633,634,634A,636,N62;31633_,31634_,31634a,31636_,34062_;5;31,34;8,933415077;48,84546633
5912;Bachstraße;Weissach Bachstraße;de:08115:5912;8115052;Weissach (BB);Weissach (BB);BB;56;"Bus;Nachtbus";633,634,634A,636,N62;31633_,31634_,31634a,31636_,34062_;5;31,34;8,922312672;48,84451526
5915;Waldenserstraße;Perouse Waldenserstr.;de:08115:5915;8115042;Rutesheim;Perouse;BB;46,56;Bus;653,653A;31653_,31653a;2;31;8,903855351;48,8140985
5916;Ringstraße;Gerlingen Ringstraße;de:08118:5916;8118019;Gerlingen;Gerlingen;LB;36;Bus;635;31635_;1;31;9,054161131;48,80176066
5917;Forchenrainstraße;Gerlingen Forchenrainstr.;de:08118:5917;8118019;Gerlingen;Gerlingen;LB;36;Bus;98;30098_;1;30;9,041430234;48,79795325
5918;Strudelbachhalle;Weissach Strudelbachhalle;de:08115:5918;8115052;Weissach (BB);Weissach (BB);BB;56;"Bus;Nachtbus";634,636,N62;31634_,31636_,34062_;3;31,34;8,918596736;48,84237255
5920;Feuerwehrmagazin;Ens. Feuerwehrmagazin;de:08118:5920;8118073;Vaihingen (E);Ensingen;LB;56,66;Bus;579;31579_;1;31;8,94820811;48,96861258
5921;Grünäckerstraße;Sindelfingen Grünäckerstr.;de:08115:5921;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;704;31704_;1;31;8,973546375;48,7249128
5922;Kleinbottwarer Straße;Steinh.(M) Kleinbottwarer Str.;de:08118:5922;8118070;Steinheim (M);Steinheim (M);LB;55,65;"Bus;Nachtbus";460,460A,N46;31460_,31460a,34046_;3;31,34;9,282448565;48,96938275
5923;Untere Lindenstraße;Waiblingen Untere Lindenstraße;de:08119:5923;8119079;Waiblingen;Waiblingen;WN;32;Bus;207;31207_;1;31;9,312734507;48,83067179
5924;Gewerbestraße (Akademie);Waibl. Gewerbestr. (Akademie);de:08119:5924;8119079;Waiblingen;Waiblingen;WN;32;Bus;216;31216_;1;31;9,320749391;48,82310518
