Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
4305;0;3;eRtg Kroatenhof;N¸rtingen Metzinger Straﬂe;de:08116:4305:0:3;8116049;N¸rtingen;N¸rtingen;ES;50,6;Bus;182,193;182,193;31182_,31193_;2;31;9,330048122;48,62366181
4305;0;4;eRtg Groﬂbettlingen/Humpfentalstr/Verdis;N¸rtingen Metzinger Straﬂe;de:08116:4305:0:4;8116049;N¸rtingen;N¸rtingen;ES;50,6;Bus;182,193;182,193;31182_,31193_;2;31;9,330048122;48,62366181
4307;0;3;eRtg Kiebitzweg;Kirchheim (T) Am Wiesenrain;de:08116:4307:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,474758936;48,65292105
4308;0;3;Rtg Neckartenzlingen;Neckartenzlingen Eichwasen;de:08116:4308:0:3;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;"Ruftaxi;Bus";188,190,RT188;188,190,RT188;31188_,31190_,50188_;3;31,5;9,249688302;48,5900881
4308;0;4;Rtg Altdorf;Neckartenzlingen Eichwasen;de:08116:4308:0:4;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;"Ruftaxi;Bus";188,190,RT188;188,190,RT188;31188_,31190_,50188_;3;31,5;9,250433985;48,59011345
4309;0;3;eRtg Auwiesenschule;Neckartenzl. Metzinger Straﬂe;de:08116:4309:0:3;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,239561394;48,58990283
4309;0;4;eRtg Marktplatz;Neckartenzl. Metzinger Straﬂe;de:08116:4309:0:4;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,239561394;48,58990283
4310;0;3;Rtg Neckartenzlingen Metzinger Str.;Neckartenzl. Auwiesenschule;de:08116:4310:0:3;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,243954795;48,58738463
4310;0;4;Rtg Kleiderwerk Adler;Neckartenzl. Auwiesenschule;de:08116:4310:0:4;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,243401519;48,58789838
4310;0;5;alle Anderen / SchulZOB;Neckartenzl. Auwiesenschule;de:08116:4310:0:5;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;187,189,190;187,189,190;31187_,31189_,31190_;3;31;9,243938638;48,5868451
4311;0;3;eRtg Neckartenzlinger Straﬂe;Neckartenzl. Kleiderwerk Adler;de:08116:4311:0:3;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,253805018;48,57845154
4311;0;4;eRtg Auwiesenschule;Neckartenzl. Kleiderwerk Adler;de:08116:4311:0:4;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69;Bus;193,197;193,197;31193_,31197_;2;31;9,253805018;48,57845154
4312;0;3;Rtg Groﬂbettl. Rathaus;Groﬂbettlingen Heerweg;de:08116:4312:0:3;8116022;Groﬂbettlingen;Groﬂbettlingen;ES;60,7;Bus;185,187,193;185,187,193;31185_,31187_,31193_;3;31;9,301285481;48,59085467
4312;0;4;Rtg Bempfl. Kath. Kirch/Neckartenzl.;Groﬂbettlingen Heerweg;de:08116:4312:0:4;8116022;Groﬂbettlingen;Groﬂbettlingen;ES;60,7;"Nachtbus;Bus";185,193,N81;185,193,N81;31185_,31193_,34081_;3;31,34;9,302017484;48,59085275
4313;0;3;Rtg Bempflingen Lindenstr.;Bempfl. Neckartenzlinger Str.;de:08116:4313:0:3;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Ruftaxi";187,193,197,RT193;187,193,197,RT193;31187_,31193_,31197_,50193_;4;31,5;9,259575343;48,57521926
4313;0;4;Rtg Neckartenzlingen/Kleiderwerk Adler;Bempfl. Neckartenzlinger Str.;de:08116:4313:0:4;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Ruftaxi";187,193,197,RT193;187,193,197,RT193;31187_,31193_,31197_,50193_;4;31,5;9,258468947;48,57616599
4314;0;3;eRtg Heerweg;Bempflingen Katholische Kirche;de:08116:4314:0:3;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Ruftaxi";193,RT193;193,RT193;31193_,50193_;2;31,5;9,26882062;48,57324658
4314;0;4;eRtg Lindenstraﬂe;Bempflingen Katholische Kirche;de:08116:4314:0:4;8116008;Bempflingen;Bempflingen;ES;69;"Nachtbus;Bus;Ruftaxi";193,N81,RT193;193,N81,RT193;31193_,34081_,50193_;3;31,34,50;9,26882062;48,57324658
4315;0;3;eRtg Grafenberger Straﬂe/Kath. Kirche;Bempflingen Lindenstraﬂe;de:08116:4315:0:3;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Ruftaxi";187,193,197,RT193;187,193,197,RT193;31187_,31193_,31197_,50193_;4;31,5;9,265999852;48,57283948
4315;0;4;eRtg Neckartenzlinger Straﬂe;Bempflingen Lindenstraﬂe;de:08116:4315:0:4;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Ruftaxi";187,193,197,RT193;187,193,197,RT193;31187_,31193_,31197_,50193_;4;31,5;9,265999852;48,57283948
