Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
3517;1;;Bus;Erdmannhausen Waage;de:08118:3517:1;8118014;Erdmannhausen;Erdmannhausen;LB;44,55;Nachtbus;N40;N40;34040_;1;34;9,292216577;48,94180655
2;0;3;Rtg Hegel-Gymnasium/Pestalozzi-Schule;Waldburgstraﬂe;de:08111:2:0:3;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";81,82,86,N10;81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,10741297;48,72545858
2;0;4;Rtg Vaihingen Bahnhof;Waldburgstraﬂe;de:08111:2:0:4;8111000;Stuttgart;Stuttgart;S;20;Bus;81,82,86;81,82,86;30081_,30082_,30086_;3;30;9,10741297;48,72545858
4615;2;;Bus Leipzig.;Sindelfingen Leipziger Str.;de:08115:4615:2;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;709;709;31709_;1;31;9,01913636;48,69824234
5677;2;;NBus;Groﬂsachsenheim Hauptstr.;de:08118:5677:2;8118076;Sachsenheim;Groﬂsachsenheim;LB;55,56,65,66;Nachtbus;N52,N56;N52,N56;34052_,34056_;2;34;9,066008675;48,95928892
5393;2;;Bus Stett/Str¸mpf;Endersbach Ortsmitte;de:08119:5393:2;8119091;Weinstadt;Endersbach;WN;42;Bus;206;206;31206_;1;31;9,366271991;48,81329355
322;3;;NBus;Kursaal;de:08111:322:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N5;N5;33005_;1;33;9,221224013;48,8101659
5;1;1;Rtg Vaihingen Schillerplatz;Fauststraﬂe;de:08111:5:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,115120839;48,73192566
5;1;2;Rtg Vaihingen Viadukt;Fauststraﬂe;de:08111:5:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,115147944;48,73188967
5;3;5;NBus Rtg ausw‰rts;Fauststraﬂe;de:08111:5:3:5;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N10;N10;33010_;1;33;9,114658737;48,7319621
6;1;1;Rtg Fauststr.;Vaihingen Viadukt;de:08111:6:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,118699114;48,73325289
6;1;2;Rtg Engelboldstr.;Vaihingen Viadukt;de:08111:6:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,118753448;48,73323485
8;1;1;Rtg Vaihingen Viadukt;Engelboldstraﬂe;de:08111:8:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,127802861;48,73692102
8;1;2;Rtg Kaltental;Engelboldstraﬂe;de:08111:8:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,128240037;48,73775683
8;3;5;NBus Rtg ausw‰rts;Engelboldstraﬂe;de:08111:8:3:5;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N10;N10;33010_;1;33;9,127899171;48,73737053
13;1;1;Rtg Heslach Vogelrain;S¸dheimer Platz;de:08111:13:1:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U9,U34;U1,U9,U34;20001_,20009_,20034_;3;20;9,143629527;48,75664965
13;2;2;Rtg Bihlplatz;S¸dheimer Platz;de:08111:13:2:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U9,U34;U1,U9,U34;20001_,20009_,20034_;3;20;9,143643051;48,75662266
13;3;3;Seilbahn;S¸dheimer Platz;de:08111:13:3:3;8111000;Stuttgart;Stuttgart;S;10;Seilbahn;20;20;21020_;1;21;9,142131279;48,75586918
13;4;4;Bus Rtg einw‰rts;S¸dheimer Platz;de:08111:13:4:4;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N1;N1;33001_;1;33;9,144500153;48,7567205
15;0;1;Rtg S¸dheimer Platz;Bihlplatz;de:08111:15:0:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U9,U34;U1,U9,U34;20001_,20009_,20034_;3;20;9,150723219;48,75928432
15;0;2;Rtg Erwin-Schˆttle-Platz;Bihlplatz;de:08111:15:0:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U9,U34;U1,U9,U34;20001_,20009_,20034_;3;20;9,152181117;48,76013668
25;0;1;Rtg Staatsgalerie;Neckartor;de:08111:25:0:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U4,U9,U11,U14;U1,U2,U4,U9,U11,U14;20001_,20002_,20004_,20009_,20011_,20014_;6;20;9,189995545;48,78605035
25;0;2;Rtg Stˆckach;Neckartor;de:08111:25:0:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U4,U9,U11,U14;U1,U2,U4,U9,U11,U14;20001_,20002_,20004_,20009_,20011_,20014_;6;20;9,189995545;48,78605035
25;0;4;NBus Rtg ausw‰rts;Neckartor;de:08111:25:0:4;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N4,N6;N4,N6;33004_,33006_;2;33;9,190581859;48,78635512
26;1;1;Rtg Neckartor;Stˆckach;de:08111:26:1:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U4,U9,U11,U14;U1,U2,U4,U9,U11,U14;20001_,20002_,20004_,20009_,20011_,20014_;6;20;9,194728445;48,78883905
26;2;2;Rtg Metzstr./Karl-Olga-Krhs.;Stˆckach;de:08111:26:2:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U4,U9,U11,U14;U1,U2,U4,U9,U11,U14;20001_,20002_,20004_,20009_,20011_,20014_;6;20;9,19524667;48,78911693
26;3;4;NBus Rtg ausw‰rts;Stˆckach;de:08111:26:3:4;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N4,N6;N4,N6;33004_,33006_;2;33;9,195000694;48,78885657
27;0;1;Rtg Stˆckach;Metzstraﬂe;de:08111:27:0:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;9,200444067;48,79220135
27;0;2;Rtg Mineralb‰der;Metzstraﬂe;de:08111:27:0:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;9,200416847;48,7922014
28;1;1;Rtg Metzstraﬂe;Mineralb‰der;de:08111:28:1:1;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;9,205662642;48,79697606
28;1;2;Rtg Mercedesstr./Wilhelma;Mineralb‰der;de:08111:28:1:2;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;9,205771162;48,79688595
30;1;1;Stadtbahn Rtg einw‰rts;Mercedesstraﬂe;de:08111:30:0:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1,U2,U11;U1,U2,U11;20001_,20002_,20011_;3;20;9,21181429;48,80004927
30;2;2;Stadtbahn Rtg Wilhelmpl./Stadion;Mercedesstraﬂe;de:08111:30:0:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1,U2,U11;U1,U2,U11;20001_,20002_,20011_;3;20;9,211841362;48,80001325
32;1;2;Rtg Ebitzweg/Augsburger Pl.;Uff-Kirchhof;de:08111:32:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1,U13;U1,U13;20001_,20013_;2;20;9,225925064;48,80499516
32;2;1;Rtg Wilhelmsplatz;Uff-Kirchhof;de:08111:32:2:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1,U13;U1,U13;20001_,20013_;2;20;9,225925186;48,80502214
32;3;3;NBus Rtg einw‰rts;Uff-Kirchhof;de:08111:32:3:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,225898405;48,80512111
33;1;1;Rtg Uff-Kirchhof;Augsburger Platz;de:08111:33:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,230843684;48,80590261
33;2;2;Rtg N¸rnberger Str.;Augsburger Platz;de:08111:33:2:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,230829947;48,80587566
33;5;3;NBus;Augsburger Platz;de:08111:33:5:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,230273154;48,80617352
34;1;1;Gleis 1;N¸rnberger Straﬂe;de:08111:34:1:1;8111000;Stuttgart;Stuttgart;S;20;"S-Bahn;R-Bahn";S2,S3,R2,R3;S2,S3,R2,R3;10002_,10003_,11002_,11003_;4;10,11;9,234345682;48,80660592
34;2;4;Gleis 4;N¸rnberger Straﬂe;de:08111:34:2:4;8111000;Stuttgart;Stuttgart;S;20;"S-Bahn;R-Bahn";S2,S3,R2,R3;S2,S3,R2,R3;10002_,10003_,11002_,11003_;4;10,11;9,23479443;48,8064971
34;3;1;Rtg Augsburger Platz;N¸rnberger Straﬂe;de:08111:34:3:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,236606748;48,80685308
34;4;2;Rtg Antwerpener Str.;N¸rnberger Straﬂe;de:08111:34:4:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,236620277;48,80683506
34;5;3;NBus;N¸rnberger Straﬂe;de:08111:34:5:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,236334387;48,80683565
35;1;1;Rtg N¸rnberger Str.;Antwerpener Straﬂe;de:08111:35:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,242958437;48,80842248
35;1;2;Rtg Beskidenstr.;Antwerpener Straﬂe;de:08111:35:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,242958306;48,8083955
35;2;3;NBus;Antwerpener Straﬂe;de:08111:35:2:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,243272;48,80851174
36;1;1;Rtg Antwerpener Str.;Beskidenstraﬂe;de:08111:36:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,253790824;48,81019755
36;2;2;Rtg Fellbach Hˆhenstr.;Beskidenstraﬂe;de:08111:36:2:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,253804257;48,81016155
36;3;3;NBus;Beskidenstraﬂe;de:08111:36:3:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,253327879;48,81018958
37;0;1;Rtg Beskidenstr.;Fellbach Hˆhenstraﬂe;de:08119:37:0:1;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,262335969;48,81185095
37;0;2;Rtg Esslinger Str.;Fellbach Hˆhenstraﬂe;de:08119:37:0:2;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,262349443;48,81182394
37;0;3;Rtg Fellbach Beskidenstr.;Fellbach Hˆhenstraﬂe;de:08119:37:0:3;8119020;Fellbach;Fellbach;WN;20,32;Nachtbus;N6;N6;33006_;1;33;9,261041971;48,81174599
38;1;1;Rtg Hˆhenstr.;Fellbach Esslinger Straﬂe;de:08119:38:1:1;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,269349827;48,81222141
38;1;2;Rtg Schwabenlandhalle;Fellbach Esslinger Straﬂe;de:08119:38:1:2;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,269308981;48,8122215
38;2;3;Rtg Schwabenlandhalle/Kelter;Fellbach Esslinger Straﬂe;de:08119:38:2:3;8119020;Fellbach;Fellbach;WN;20,32;Bus;211,212;211,212;31211_,31212_;2;31;9,269483323;48,81172652
38;2;4;Rtg Postdˆrfle;Fellbach Esslinger Straﬂe;de:08119:38:2:4;8119020;Fellbach;Fellbach;WN;20,32;Bus;212;212;31212_;1;31;9,269497469;48,8118254
39;1;1;Rtg Esslinger Str.;Fellbach Schwabenlandhalle;de:08119:39:1:1;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,270516024;48,80881957
39;2;2;Rtg Lutherkirche;Fellbach Schwabenlandhalle;de:08119:39:2:2;8119020;Fellbach;Fellbach;WN;20,32;Stadtbahn;U1;U1;20001_;1;20;9,270801973;48,80882789
39;3;5;Rtg Lutherkirche;Fellbach Schwabenlandhalle;de:08119:39:3:5;8119020;Fellbach;Fellbach;WN;20,32;Bus;207,211,212;207,211,212;31207_,31211_,31212_;3;31;9,270843398;48,8089357
39;3;6;Rtg Esslinger Straﬂe;Fellbach Schwabenlandhalle;de:08119:39:3:6;8119020;Fellbach;Fellbach;WN;20,32;Bus;207,212;207,212;31207_,31212_;2;31;9,270829832;48,80894472
43;0;1;Rtg Waldeck;Heslach Vogelrain;de:08111:43:0:1;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U1;U1;20001_;1;20;9,138358078;48,75370662
43;0;2;Rtg S¸dheimer Platz;Heslach Vogelrain;de:08111:43:0:2;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U1;U1;20001_;1;20;9,138453225;48,75368852
43;0;3;Bus-Li92 Ankunft;Heslach Vogelrain;de:08111:43:0:3;8111000;Stuttgart;Stuttgart;S;10,2;Bus;92;92;30092_;1;30;9,138412079;48,75356268
43;0;4;Rtg Rudolf-Sophien-Stift;Heslach Vogelrain;de:08111:43:0:4;8111000;Stuttgart;Stuttgart;S;10,2;Bus;92;92;30092_;1;30;9,138412079;48,75356268
43;0;5;NBus Rtg ausw‰rts;Heslach Vogelrain;de:08111:43:0:5;8111000;Stuttgart;Stuttgart;S;10,2;Nachtbus;N1;N1;33001_;1;33;9,139107472;48,75421828
43;0;7;U14 Endhst./Rtg S¸dheimer Platz;Heslach Vogelrain;de:08111:43:0:7;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U9;U9;20009_;1;20;9,138221811;48,75360787
55;1;2;Rtg Bˆrsenpl/Hˆlderlinpl/Schloss-/Joh-st;Berliner Platz (Hohe Straﬂe);de:08111:55:1:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U2,U4,U14,U34;U2,U4,U14,U34;20002_,20004_,20014_,20034_;4;20;9,168600567;48,77713633
55;2;1;Rtg Roteb¸hlplatz;Berliner Platz (Hohe Straﬂe);de:08111:55:2:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U2,U4,U14,U34;U2,U4,U14,U34;20002_,20004_,20014_,20034_;4;20;9,168546114;48,77712742
55;3;4;Lnie 43 Rtg Roteb¸hlplatz;Berliner Platz (Hohe Straﬂe);de:08111:55:3:4;8111000;Stuttgart;Stuttgart;S;10;Bus;43;43;30043_;1;30;9,167854414;48,77778488
55;4;5;NBus;Berliner Platz (Hohe Straﬂe);de:08111:55:4:5;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N2;N2;33002_;1;33;9,168492778;48,77745122
76;1;1;Rtg Stˆckach;Karl-Olga-Krankenhaus;de:08111:76:1:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,20133041;48,78923233
76;2;2;Rtg Bergfriedhof;Karl-Olga-Krankenhaus;de:08111:76:1:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,202119481;48,78916799
76;1;4;NBus;Karl-Olga-Krankenhaus;de:08111:76:1:4;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N6;N6;33006_;1;33;9,202364662;48,78922152
77;2;1;Rtg Karl-Olga-Krankenhaus;Bergfriedhof;de:08111:77:0:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,204977122;48,78909999
77;1;2;Rtg Raitelsberg/Ostendplatz;Bergfriedhof;de:08111:77:0:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,206324082;48,78901665
77;1;4;NBus;Bergfriedhof;de:08111:77:0:4;8111000;Stuttgart;Stuttgart;S;10;Nachtbus;N6;N6;33006_;1;33;9,206133703;48,78905296
78;1;1;Rtg Ostendplatz;Ostheim Leo-Vetter-Bad;de:08111:78:1:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4;U4;20004_;1;20;9,211016118;48,7850425
78;1;2;Rtg Gaisburg;Ostheim Leo-Vetter-Bad;de:08111:78:1:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4;U4;20004_;1;20;9,210988826;48,78502456
78;2;4;Linie 45 Rtg Tal-/Landhausstr.;Ostheim Leo-Vetter-Bad;de:08111:78:2:4;8111000;Stuttgart;Stuttgart;S;10;Bus;45;45;30045_;1;30;9,210594876;48,78518715
79;0;1;Rtg Leo-Vetter-Bad;Gaisburg;de:08111:79:0:1;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4;U4;20004_;1;20;9,215760215;48,78385569
79;0;2;Rtg Wangener-/Landhausstr.;Gaisburg;de:08111:79:0:2;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4;U4;20004_;1;20;9,215760061;48,78381972
80;1;1;U9 Rtg Schlachthof;Wangener-/Landhausstraﬂe;de:08111:80:1:1;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U9;U9;20009_;1;20;9,222680333;48,78245767
80;1;2;U9 Rtg Brendle (Groﬂmarkt);Wangener-/Landhausstraﬂe;de:08111:80:1:2;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U9;U9;20009_;1;20;9,222639432;48,78243976
80;1;3;NBus Rtg einw‰rts;Wangener-/Landhausstraﬂe;de:08111:80:1:3;8111000;Stuttgart;Stuttgart;S;10,2;Nachtbus;N7;N7;33007_;1;33;9,223699751;48,7822039
80;1;4;NBus Rtg ausw‰rts;Wangener-/Landhausstraﬂe;de:08111:80:1:4;8111000;Stuttgart;Stuttgart;S;10,2;Nachtbus;N6;N6;33006_;1;33;9,223576727;48,78207825
80;2;7;U4 Rtg Gaisburg;Wangener-/Landhausstraﬂe;de:08111:80:2:7;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U4;U4;20004_;1;20;9,222448413;48,78232323
80;2;8;U4 Rtg Brendle (Groﬂmarkt);Wangener-/Landhausstraﬂe;de:08111:80:2:8;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U4;U4;20004_;1;20;9,222421119;48,7823053
81;1;1;Rtg Wangener-/Landhausstr.;Brendle (Groﬂmarkt);de:08111:81:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,226744866;48,78155948
81;2;2;Rtg Im Degen;Brendle (Groﬂmarkt);de:08111:81:2:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,226731096;48,78152353
81;3;4;NBus Rtg ausw‰rts;Brendle (Groﬂmarkt);de:08111:81:2:4;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,227301937;48,78137853
81;3;3;NBus Rtg einw‰rts;Brendle (Groﬂmarkt);de:08111:81:3:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N7;N7;33007_;1;33;9,22800917;48,78130519
82;1;1;Rtg Brendle (Groﬂmarkt);Im Degen;de:08111:82:0:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,233545136;48,77793093
82;2;2;Rtg Inselstr.;Im Degen;de:08111:82:0:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,232934953;48,77838178
82;1;3;NBus Rtg einw‰rts;Im Degen;de:08111:82:0:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N7;N7;33007_;1;33;9,233491297;48,77805693
82;1;4;NBus Rtg ausw‰rts;Im Degen;de:08111:82:0:4;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N6;N6;33006_;1;33;9,233151356;48,77810258
83;1;1;Rtg Im Degen;Inselstraﬂe;de:08111:83:0:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,238311229;48,77589786
83;2;2;Rtg Wasenstr.;Inselstraﬂe;de:08111:83:0:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,236788059;48,77603589
83;1;3;NBus Rtg einw‰rts;Inselstraﬂe;de:08111:83:0:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N7;N7;33007_;1;33;9,237277388;48,77593597
84;4;7;U13 Rtg Untert¸rkheim Bf;Wasenstraﬂe;de:08111:84:1:7;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U13;U13;20013_;1;20;9,244676679;48,77549782
84;5;8;U9/U13 Rtg Wangen Marktplatz;Wasenstraﬂe;de:08111:84:1:8;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U9,U13;U9,U13;20009_,20013_;2;20;9,244635775;48,77547992
84;1;1;U4/U9 Rtg Inselstr.;Wasenstraﬂe;de:08111:84:2:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;9,242843006;48,77613117
84;2;2;U4 Rtg Untert¸rkheim Bf;Wasenstraﬂe;de:08111:84:2:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4;U4;20004_;1;20;9,242829314;48,77611322
86;1;3;Bus - Li.61 Rtg Untert¸rkheim Bf;Groﬂglocknerstraﬂe;de:08111:86:1:3;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";61,N7;61,N7;30061_,33007_;2;30,33;9,252718508;48,77840295
86;1;4;Bus - Li.60 Rtg FL, Li.61 v.UB;Groﬂglocknerstraﬂe;de:08111:86:1:4;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";60,61,N6;60,61,N6;30060_,30061_,33006_;3;30,33;9,252718508;48,77840295
87;0;3;Bus - Li.61 Rtg Obert¸rkheim;Neckarhalde;de:08111:87:0:3;8111000;Stuttgart;Stuttgart;S;20;Bus;61;61;30061_;1;30;9,259977093;48,77439415
87;0;4;Bus - Li.61 Rtg Untert¸rkheim;Neckarhalde;de:08111:87:0:4;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";61,N7;61,N7;30061_,33007_;2;30,33;9,259977093;48,77439415
89;0;3;Bus - Li.61 Rtg Obert¸rkheim;Ebniseestraﬂe;de:08111:89:0:3;8111000;Stuttgart;Stuttgart;S;20,31;Bus;61;61;30061_;1;30;9,264445601;48,76778354
89;0;4;Bus - Li.61 Rtg Untert¸rkheim;Ebniseestraﬂe;de:08111:89:0:4;8111000;Stuttgart;Stuttgart;S;20,31;"Bus;Nachtbus";61,N7;61,N7;30061_,33007_;2;30,33;9,264568219;48,76781923
90;0;3;Bus - Li.61 Rtg Obert¸rkheim;Bergstaffelstraﬂe;de:08111:90:0:3;8111000;Stuttgart;Stuttgart;S;20,31;Bus;61;61;30061_;1;30;9,265849534;48,76573903
90;0;4;Bus - Li.61 Rtg Untert¸rkheim;Bergstaffelstraﬂe;de:08111:90:0:4;8111000;Stuttgart;Stuttgart;S;20,31;"Bus;Nachtbus";61,N7;61,N7;30061_,33007_;2;30,33;9,265849534;48,76573903
94;0;3;Bus - Li.99 Rtg Korntaler Str.;Wollinstraﬂe;de:08111:94:0:3;8111000;Stuttgart;Stuttgart;S;20,34,36;Bus;E,52,99,612;E,52,99,612;30015a,30052_,30099_,31612_,31612q;5;30,31;9,147157943;48,83745936
94;0;4;Bus - Li.99 Rtg Zuffenhausen Bf;Wollinstraﬂe;de:08111:94:0:4;8111000;Stuttgart;Stuttgart;S;20,34,36;"Bus;Nachtbus";52,99,612,N4;52,99,612,N4;30052_,30099_,31612_,31612q,33004_;5;30,31,33;9,147062271;48,83735158
95;1;3;Bus - Li.99 Rtg Korntaler Str.;Neuwirtshauskreuzung;de:08111:95:1:3;8111000;Stuttgart;Stuttgart;S;20,34,36;"Bus;Nachtbus";E,52,99,N4;E,52,99,N4;30015a,30052_,30099_,33004_;4;30,33;9,141908412;48,84050536
95;1;4;Bus - Li.99 Rtg Zuffenhausen Bf;Neuwirtshauskreuzung;de:08111:95:1:4;8111000;Stuttgart;Stuttgart;S;20,34,36;Bus;52,99;52,99;30052_,30099_;2;30;9,141908412;48,84050536
96;0;3;Rtg Marco-Polo-Weg;Niebuhrweg;de:08111:96:0:3;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Nachtbus";E,52,99,N4;E,52,99,N4;30015a,30052_,30099_,33004_;4;30,33;9,147511938;48,84201799
96;0;4;Rtg Neuwirtshauskreuzung;Niebuhrweg;de:08111:96:0:4;8111000;Stuttgart;Stuttgart;S;20,34;Bus;52,99;52,99;30052_,30099_;2;30;9,147511938;48,84201799
97;0;3;Rtg Korntaler Straﬂe;Marco-Polo-Weg;de:08111:97:0:3;8111000;Stuttgart;Stuttgart;S;20,34;Bus;E,52,99;E,52,99;30015a,30052_,30099_;3;30;9,15323792;48,84336833
97;0;4;Rtg Niebuhrweg;Marco-Polo-Weg;de:08111:97:0:4;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Nachtbus";52,99,N4;52,99,N4;30052_,30099_,33004_;3;30,33;9,15323792;48,84336833
100;1;1;Stadtbahn Endhaltestelle;Stammheim;de:08111:100:1:1;8111000;Stuttgart;Stuttgart;S;20,34;Stadtbahn;U15;U15;20015_;1;20;9,156106466;48,85015362
100;2;3;L.412 Rtg Sonatenweg/L.508 Rtg Kornt.Str;Stammheim;de:08111:100:2:3;8111000;Stuttgart;Stuttgart;S;20,34;Bus;412,508;412,508;31412_,31508_,31508q;3;31;9,156022496;48,84944335
100;2;4;Linien 412/508 Rtg Asperger Str.;Stammheim;de:08111:100:2:4;8111000;Stuttgart;Stuttgart;S;20,34;Bus;412,508;412,508;31412_,31508_,31508q;3;31;9,156011255;48,85020771
102;1;1;Rtg Heutingsheimer Str.;Korntaler Straﬂe;de:08111:102:1:1;8111000;Stuttgart;Stuttgart;S;20,34;Stadtbahn;U15;U15;20015_;1;20;9,157063155;48,84673526
102;2;2;Rtg Stammheim;Korntaler Straﬂe;de:08111:102:2:2;8111000;Stuttgart;Stuttgart;S;20,34;Stadtbahn;U15;U15;20015_;1;20;9,157172209;48,84675309
102;3;2;L.52/99/N4 Rtg M.-Polo-W./L.508 Rtg Sthm;Korntaler Straﬂe;de:08111:102:3:2;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Nachtbus";52,99,508,N4;52,99,508,N4;30052_,30099_,31508_,31508q,33004_;5;30,31,33;9,157496964;48,84604226
102;3;3;Linie 508 Rtg Salzwiesenstr.;Korntaler Straﬂe;de:08111:102:3:3;8111000;Stuttgart;Stuttgart;S;20,34;Bus;508;508;31508_,31508q;2;31;9,157591684;48,84583531
